Byline,Type,Value,Attribute
Colin Caricato,orgName,"LOS ANGELES EXAMINER",publishing
Colin Caricato,eventName,"Death",tragedy
Colin Caricato,persName,"Antonio Moreno",moreno
Colin Caricato,eventName,"assassination",tragedy
Colin Caricato,persName,"William Desmond Taylor",taylor
Colin Caricato,eventName,"engagement",meeting
Colin Caricato,persName,"Antonio Moreno",moreno
Colin Caricato,persName,"Moreno",moreno
Colin Caricato,persName,"Taylor",taylor
Colin Caricato,objectName,"telephone",communication
Colin Caricato,persName,"Taylor",Taylor
Colin Caricato,persName,"Moreno's",moreno
Colin Caricato,eventName,"appointment",meeting
Colin Caricato,objectName,"corpse",evidence
Colin Caricato,placeName,"local undertaking company's morgue",storage
Colin Caricato,objectName,"murderer's bullet",evidence
Colin Caricato,persName,"Moreno",moreno
Colin Caricato,persName,"Taylor",taylor
Colin Caricato,persName,"Taylor",taylor
Colin Caricato,orgName,"the old Vitagraph Company",film
Colin Caricato,placeName,"Santa Monica",city
Colin Caricato,persName,"Tony",moreno
Colin Caricato,eventName,"dinner party",party
Colin Caricato,persName,"Taylor",taylor
Colin Caricato,persName,"Miss Betty Francisco",betty
Colin Caricato,persName,"Miss Claire Windsor",windsor
Colin Caricato,placeName,"Ambassador Hotel",hotel
Colin Caricato,persName,"Moreno",moreno
Colin Caricato,eventName,"informal meeting",meeting
Colin Caricato,persName,"Moreno",moreno
Colin Caricato,persName,"Taylor",taylor
Colin Caricato,persName,"Arthur Hoyt",hoyt
Colin Caricato,persName,"a Captain Robinson",robinson
Colin Caricato,persName,"Moreno's",moreno
Colin Caricato,placeName,"room at the Los Angeles Athletic Club",club
Colin Caricato,persName,"Moreno",moreno
Colin Caricato,eventName,"dinner party",party
Colin Caricato,placeName,"the Ambassador",hotel
Colin Caricato,persName,"a friend",relationship
Colin Caricato,placeName,"Chicago",city
Colin Caricato,eventName,"dinner",meal
Colin Caricato,placeName,"roadhouse between Los Angeles and Pasadena",resturant
Colin Caricato,placeName,"Los Angeles",city
Colin Caricato,placeName,"Pasadena",city
Colin Caricato,placeName,"Annandale Club",club
Colin Caricato,eventName,"dinner",meal
Colin Caricato,persName,"Taylor's",taylor
Colin Caricato,placeName,"home",residence
Colin Caricato,persName,"Moreno",moreno
Colin Caricato,persName,"Taylor",taylor
Colin Caricato,placeName,"the Vitagraph studio",studio
Colin Caricato,persName,"Moreno",moreno
Colin Caricato,eventName,"appointment",meeting
Colin Caricato,persName,"Moreno",moreno
Colin Caricato,eventName,"trip",travel
Colin Caricato,placeName,"Mount Lowe",mountain
Colin Caricato,persName,"Moreno",moreno
Colin Caricato,persName,"Henry",henry
Colin Caricato,objectName,"the phone",communication
Colin Caricato,persName,"Mr. Taylor",taylor
Colin Caricato,placeName,"at home",residence
Colin Caricato,persName,"Mr. Taylor",taylor
Colin Caricato,placeName,"Lasky studio",studio
Colin Caricato,persName,"Mr. Hoyt",hoyt
Colin Caricato,placeName,"my room",house
Colin Caricato,persName,"Mr. Taylor",taylor
Colin Caricato,placeName,"Vitagraph studio",studio
Colin Caricato,persName,"Moreno",moreno
Colin Caricato,eventName,"appointment",meeting
Colin Caricato,persName,"Mr. Taylor's",taylor
Colin Caricato,eventName,"death",morality
Colin Caricato,persName,"the man who killed him",perpatrator
Colin Caricato,orgName,"LOS ANGELES TIMES",publishing
Colin Caricato,persName,"Police",law
