Byline,Type,Value,Attribute
Lucy DiChristina,persName,"Marshall",Marshall
Lucy DiChristina,persName,"Mr Taylor",Taylor
Lucy DiChristina,persName,"Bill's",Taylor
Lucy DiChristina,eventName,"soberly",sober
Lucy DiChristina,persName,"Mr Taylor's",Taylor
Lucy DiChristina,eventName,"drunk",drunk
Lucy DiChristina,persName,"Marshall",Marshall
Lucy DiChristina,persName,"Bill",Taylor
Lucy DiChristina,eventName,"intoxicated",drunk
Lucy DiChristina,persName,"Marshall",Marshall
Lucy DiChristina,persName,"Bill",Taylor
Lucy DiChristina,persName,"Arthur Hoyt",Arthur
Lucy DiChristina,persName,"Cap Robinson",Robinson
Lucy DiChristina,persName,"Mr Taylor's",Taylor
Lucy DiChristina,persName,"Marshall",Marshall
Lucy DiChristina,persName,"Mr Taylor",Taylor
Lucy DiChristina,eventName,"murder",murder
Lucy DiChristina,persName,"Mr Taylor",Taylor
Lucy DiChristina,persName,"Marshall",Marshall
Lucy DiChristina,persName,"Mary",Mary
Lucy DiChristina,persName,"Mary",Mary
Lucy DiChristina,persName,"John Jones",Jones
Lucy DiChristina,eventName,"love",love
Lucy DiChristina,eventName,"live",life
Lucy DiChristina,objectName,"cigarette",cigarette
Lucy DiChristina,placeName,"home",home
Lucy DiChristina,eventName,"murder",murder
Lucy DiChristina,persName,"Marshall",Marshall
Lucy DiChristina,persName,"Mary",Mary
Lucy DiChristina,persName,"Mary",Mary
Lucy DiChristina,eventName,"murder",murder
Lucy DiChristina,persName,"Bill",Taylor
Lucy DiChristina,persName,"Mr Taylor",Taylor
Lucy DiChristina,eventName,"killed",murder
Lucy DiChristina,persName,"Mr Taylor",Taylor
Lucy DiChristina,eventName,"affair",affair
Lucy DiChristina,eventName,"kill",murder
Lucy DiChristina,persName,"William Desmond Taylor",Taylor
Lucy DiChristina,eventName,"murdered",murder
Lucy DiChristina,eventName,"kill",murder
Lucy DiChristina,eventName,"killing",murder
Lucy DiChristina,eventName,"killing",murder
Lucy DiChristina,persName,"Mrs. Julia Crawford Ivers",Ivers
Lucy DiChristina,orgName,"Christian Science lady",Christian
Lucy DiChristina,orgName,"scenario writer",writer
Lucy DiChristina,persName,"Mary",Mary
Lucy DiChristina,persName,"Mary",Mary
Lucy DiChristina,persName,"Mr Taylor's",Taylor
Lucy DiChristina,orgName,"camera man",cameraman
Lucy DiChristina,persName,"Jimmy",Jimmy
Lucy DiChristina,orgName,"camera man",cameraman
Lucy DiChristina,persName,"Jim Vantrees",Jim
Lucy DiChristina,placeName,"France",France
Lucy DiChristina,placeName,"Paris",France
Lucy DiChristina,placeName,"Louvre",France
Lucy DiChristina,persName,"Julia Crawford Ivers",Ivers
Lucy DiChristina,orgName,"Christian Science things",Christian
