"elementName", "elementContent", "typeAttributeIfPresent"
"objectName a shot weapon"
"objectName a shot weapon"
"objectName back bodyPart"
"objectName back bodyPart"
"objectName blood mortality"
"objectName blood mortality"
"objectName body mortality"
"objectName body mortality"
"objectName body mortality"
"objectName body mortality"
"objectName body mortality"
"objectName body mortality"
"objectName body mortality"
"objectName body mortality"
"objectName body mortality"
"objectName body mortality"
"objectName buildings structure"
"objectName bullet wound mortality"
"objectName clothing clothing"
"objectName deceased mortality"
"objectName desk furniture"
"objectName feet bodyPart"
"objectName fire-arms weapon"
"objectName fire-arms weapon"
"objectName floor houseInterior"
"objectName gunshot weapon"
"objectName hand bodyPart"
"objectName hand bodyPart"
"objectName hand bodyPart"
"objectName head bodyPart"
"objectName head bodyPart"
"objectName head bodyPart"
"objectName head bodyPart"
"objectName head bodyPart"
"objectName mouth bodyPart"
"objectName notes document"
"objectName pillow furniture"
"objectName pool of blood mortality"
"objectName pool of blood mortality"
"objectName pool of blood mortality"
"objectName remains mortality"
"objectName revolver weapon"
"objectName revolver weapon"
"objectName shirt clothing"
"objectName stomach bodyPart"
"objectName stomach bodyPart"
"objectName suit clothing"
"objectName trail of blood mortality"
"objectName trail of blood mortality"
"objectName transcript document"
"objectName upper drawer furniture"
"objectName vest clothing"
"objectName vest clothing"
"placeName 1920 Vine Street, Hollywood residence"
"placeName Apartment ""B,"" South Alvarado Street, 404 residence"
"placeName Ireland country"
"placeName Ivy H. Overholtzer [Mortuary] mortuary"
"placeName Los Angeles, California city"
"placeName apartment residence"
"placeName apartments residence"
"placeName court residence"
"placeName court residence"
"placeName court residence"
"placeName door house"
"placeName door house"
"placeName front entrance house"
"placeName front entrance house"
"placeName home residence"
"placeName neighborhood residence"
"placeName room house"
"placeName room house"
"placeName room house"
"placeName room house"
"placeName upstairs house"
