Byline,Type,Value,Attribute
Henry Gibbons,persName,"EARL TIFFANY",tiffany
Henry Gibbons,persName,"W.D. Taylor",taylor
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,objectName,"money",money
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,objectName,"money",money
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,objectName,"book",book
Henry Gibbons,objectName,"book",book
Henry Gibbons,objectName,"checks",money
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,objectName,"checks",money
Henry Gibbons,objectName,"money",money
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"Mr. Taylor",taylor
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"Mary Miles Minter",Minter
Henry Gibbons,persName,"Mabel Normand",mabel
Henry Gibbons,persName,"Edna Purviance",purviance
Henry Gibbons,persName,"Mr. Dustin Farnum",farnum
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"Miss Gerber",gerber
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"Taylor's",taylor
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,objectName,"door",door
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,objectName,"front door",door
Henry Gibbons,placeName,"house",residence
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,placeName,"house?",residence
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"Harry Fellow",harry fellow
Henry Gibbons,persName,"Howard Fellows",howard fellows
Henry Gibbons,persName,"Bill Davis",bill davis
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"MR. WINN",winn
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Mr. Taylor's",taylor
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Taylor's",taylor
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"Deane-Tanner",deane tanner
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"Deane-Tanner",deane tanner
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"Taylor's",taylor
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"Mr. Taylor",taylor
Henry Gibbons,orgName,"POLICE",law
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Mr. Taylor's",taylor
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"Mary Miles Minter",minter
Henry Gibbons,persName,"Mabel Normand",mabel
Henry Gibbons,persName,"Miss Neva Gerber",gerber
Henry Gibbons,persName,"POLICE",law
Henry Gibbons,placeName,"bed",place
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,objectName,"paper",paper
Henry Gibbons,persName,"Taylor's",taylor
Henry Gibbons,persName,"TIFFANY",tiffany
Henry Gibbons,persName,"Mary",minter
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"Mary",minter
Henry Gibbons,persName,"Mr. Taylor",taylor
Henry Gibbons,objectName,"car",vechile
Henry Gibbons,placeName,"house",residence
