Byline,Type,Value,Attribute
Daniel Hou,persName,"JAMES KIRKWOOD",Kirkwood
Daniel Hou,persName,"MARY MILES MINTER",Mary
Daniel Hou,persName,"James Kirkwood",Kirkwood
Daniel Hou,persName,"actor and motion-picture director",Kirkwood
Daniel Hou,persName,"Mary Miles Minter's",Mary
Daniel Hou,persName,"first director",Kirkwood
Daniel Hou,objectName,"pictures",document
Daniel Hou,orgName,"the American Film Company",company
Daniel Hou,placeName,"Santa Barbara",city
Daniel Hou,persName,"She",Mary
Daniel Hou,eventName,"Kirkwood then consummated the marriage in a much more mundane way as a result of which Mary became pregnant",sex
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"Mary",Mary
Daniel Hou,eventName,"Intercourse went on for a number of months",sex
Daniel Hou,persName,"Kirkwood",Kirkwood
Daniel Hou,placeName,"New York",city
Daniel Hou,eventName,"Kirkwood wrote a series of letters to Mary",contaction
Daniel Hou,persName,"Kirkwood",Kirkwood
Daniel Hou,objectName,"letters",document
Daniel Hou,persName,"Mary",Mary
Daniel Hou,orgName,"the motion-picture company",company
Daniel Hou,persName,"Mary",Mary
Daniel Hou,objectName,"letters",document
Daniel Hou,objectName,"plain white envelopes",document
Daniel Hou,persName,"“Juliet”",Mary
Daniel Hou,persName,"Mary's",Mary
Daniel Hou,persName,"her mother",Shelby
Daniel Hou,persName,"Mrs. Charlotte Shelby",Shelby
Daniel Hou,eventName,"always a suspect in the Taylor murder",murder
Daniel Hou,persName,"suspect",Shelby
Daniel Hou,persName,"Taylor",Taylor
Daniel Hou,persName,"girl's",Mary
Daniel Hou,persName,"the mother",Shelby
Daniel Hou,objectName,"all kinds of diets",food
Daniel Hou,eventName,"The correspondence between Kirkwood and Mary continued",conatction
Daniel Hou,persName,"Kirkwood",Kirkwood
Daniel Hou,persName,"Mary",Mary
Daniel Hou,eventName,"but the mother at last intercepted one of the letters",contaction
Daniel Hou,persName,"the mother",Shelby
Daniel Hou,objectName,"one of the letters",document
Daniel Hou,persName,"Kirkwood",Kirkwood
Daniel Hou,placeName,"the Lamb's Club",residence
Daniel Hou,placeName,"New York",city
Daniel Hou,persName,"Mrs. Shelby",Shelby
Daniel Hou,persName,"she",Shelby
Daniel Hou,eventName,"Mary was forced to write a letter to Kirkwood saying that they had been found out and that her mother insisted that their romance end at once",contaction
Daniel Hou,persName,"Mary",Mary
Daniel Hou,objectName,"letter",doument
Daniel Hou,persName,"Kirkwood",Kirkwood
Daniel Hou,eventName,"romance",sex
Daniel Hou,persName,"Kirkwood",Kirkwood
Daniel Hou,objectName,"letters",document
Daniel Hou,persName,"him",Kirkwood
Daniel Hou,persName,"Mary",Mary
Daniel Hou,persName,"The mother",Shelby
Daniel Hou,objectName,"collection of letters",document
Daniel Hou,objectName,"a safe-deposit box",box
Daniel Hou,eventName,"They were given to Mary recently",contaction
Daniel Hou,objectName,"They",document
Daniel Hou,persName,"Mary",Mary
Daniel Hou,eventName,"Mary's sister, Margaret Fillmore, had a falling out with her mother",relationship
Daniel Hou,persName,"Mary's sister",Margaret
Daniel Hou,persName,"Margaret Fillmore",Margaret
Daniel Hou,persName,"her mother",Shelby
Daniel Hou,persName,"The mother",Shelby
Daniel Hou,objectName,"letters",document
Daniel Hou,persName,"Mary",Mary
Daniel Hou,persName,"her",Mary
Daniel Hou,persName,"her mother",Shelby
Daniel Hou,objectName,"missives",document
Daniel Hou,persName,"Margaret",Margaret
Daniel Hou,objectName,"letters",document
Daniel Hou,eventName,"accused her of murdering Taylor that she could prove that if she was ever going to murder anyone she would have murdered Kirkwood at the time",murder
Daniel Hou,persName,"her",Shelby
Daniel Hou,persName,"Taylor",Taylor
Daniel Hou,persName,"she",Shelby
Daniel Hou,persName,"she",Shelby
Daniel Hou,persName,"she",Shelby
Daniel Hou,persName,"Kirkwood",Kirkwood
Daniel Hou,persName,"Kirkwood",Kirkwood
Daniel Hou,persName,"man",Kirkwood
Daniel Hou,persName,"the young screen star",Mary
Daniel Hou,eventName,"writing two and three letters a day and all the missives were ended in a long series of “X’s” or kisses",contaction
Daniel Hou,objectName,"letters",document
Daniel Hou,objectName,"all the missives",document
Daniel Hou,objectName,"letters",document
Daniel Hou,persName,"My sweetheart",Mary
Daniel Hou,persName,"my wife",Mary
