Byline,Type,Value,Attribute
Campbell Killian,persName,"Henry Peavey",Peavey
Campbell Killian,persName,"Mabel Normand",Normand
Campbell Killian,persName,"Henry Peavey",Peavey
Campbell Killian,persName,"Taylor",Taylor
Campbell Killian,persName,"Mabel Normand",Normand
Campbell Killian,persName,"Taylor",Taylor
Campbell Killian,placeName,"San Francisco",city
Campbell Killian,persName,"Henry Peavey",Peavey
Campbell Killian,persName,"William Desmond Taylor",Taylor
Campbell Killian,placeName,"a northern California city",city
Campbell Killian,orgName,"United Press",newspaper
Campbell Killian,placeName,"Los Angeles",city
Campbell Killian,persName,"district attorney",District Attonery
Campbell Killian,persName,"Taylor",Taylor
Campbell Killian,persName,"Dr. Thomas Filben",Filben
Campbell Killian,persName,"Taylor",Taylor
Campbell Killian,persName,"Dr. Filbin",Filben
Campbell Killian,persName,"Peavey",Peavey
Campbell Killian,persName,"Peavey",Peavey
Campbell Killian,persName,"Otis Hefner",Hefner
Campbell Killian,persName,"Mr. Taylor",Taylor
Campbell Killian,persName,"Peavey",Peavey
Campbell Killian,persName,"Mr. Taylor's",Taylor
Campbell Killian,placeName,"downtown",LA
Campbell Killian,persName,"Mr. Taylor",Taylor
Campbell Killian,persName,"Peavey",Peavey
Campbell Killian,persName,"Peavey",Peavey
Campbell Killian,persName,"Dr. Filben",Filben
Campbell Killian,placeName,"Los Angeles",LA
Campbell Killian,persName,"Mr. Taylor's",Taylor
Campbell Killian,placeName,"Los Angeles",LA
Campbell Killian,persName,"Dr. Filbin",Filben
Campbell Killian,persName,"Peavey's",Peavey
Campbell Killian,persName,"Taylor",Taylor
Campbell Killian,placeName,"Taylor's house",house
Campbell Killian,placeName,"San Francisco",SF
Campbell Killian,persName,"Dr. Filben",Filben
Campbell Killian,persName,"Taylor",Taylor
Campbell Killian,placeName,"Los Angeles",LA
Campbell Killian,persName,"Peavey",Peavey
Campbell Killian,placeName,"San Francisco",SF
Campbell Killian,placeName,"Peavey's home",Peavey
Campbell Killian,persName,"Peavey",Peavey
Campbell Killian,persName,"Mr. Taylor",Taylor
Campbell Killian,persName,"Mr. Taylor",Taylor
