Byline,Type,Value,Attribute
Liv King,persName,"Julia Crawford Ivers",ivers
Liv King,persName,"Julia Crawford Ivers",ivers
Liv King,persName,"Taylor",taylor
Liv King,orgName,"Paramount",company
Liv King,persName,"Taylor's",taylor
Liv King,persName,"When Mary Miles Minter",minter
Liv King,persName,"Minter",minter
Liv King,persName,"Marshall Neilan",neilan
Liv King,persName,"Minter",minter
Liv King,persName,"Taylor",taylor
Liv King,persName,"Julia Crawford Ivers",ivers
Liv King,persName,"Ivers",ivers
Liv King,persName,"Julia Crawford Ivers",ivers
Liv King,placeName,"scenario department",setting
Liv King,placeName,"Filmland",studio
Liv King,persName,"Miss Ivers",ivers
Liv King,placeName,"studio",setting
Liv King,objectName,"the floor",floor
Liv King,placeName,"Morosco studio",studio
Liv King,placeName,"Lasky plant",company
Liv King,persName,"Ivers",ivers
Liv King,persName,"Miss Ivers",ivers
Liv King,persName,"Mary Miles Minter",minter
Liv King,persName,"William D. Taylor",taylor
Liv King,objectName,"stories and articles",document
Liv King,objectName,"magazines",document
Liv King,objectName,"picture",possession
Liv King,persName,"Julia Crawford Ivers",ivers
Liv King,persName,"William D. Taylor",taylor
Liv King,persName,"William D. Taylor",taylor
Liv King,objectName,"picture",possession
Liv King,objectName,"picture",possession
Liv King,placeName,"Alaska",state
Liv King,persName,"William D. Taylor",taylor
Liv King,objectName,"assassin's bullet",gun
Liv King,objectName,"the heart",bodyPart
Liv King,objectName,"dead body",body
Liv King,persName,"Mr. Taylor",taylor
Liv King,objectName,"The good book",possession
Liv King,placeName,"Hawaii",state
Liv King,placeName,"motion picture studios",studio
Liv King,persName,"Jesse Lasky",lasky
Liv King,persName,"Miss Julia Crawford Ivers",ivers
Liv King,persName,"Miss Ivers",ivers
Liv King,placeName,"Los Angeles",city
Liv King,placeName,"Hawaii",state
Liv King,placeName,"Hawaii",state
Liv King,placeName,"with Island",set
Liv King,placeName,"the Islands",set
Liv King,placeName,"Hawaii",state
Liv King,placeName,"Kauai",set
Liv King,placeName,"Garden Island",set
Liv King,placeName,"Hilo",set
Liv King,placeName,"Kalapana",set
Liv King,placeName,"Puna",set
Liv King,placeName,"the Volcano",set
Liv King,placeName,"Kona",set
Liv King,placeName,"Kealakekua Bay",set
Liv King,placeName,"Honaunau",set
Liv King,placeName,"Kohala",set
Liv King,persName,"Miss Ivers",ivers
Liv King,persName,"Lasky",lasky
Liv King,objectName,"picture",possession
Liv King,persName,"William D. Taylor",taylor
Liv King,persName,"Mr. Taylor",taylor
Liv King,objectName,"picture",possession
Liv King,persName,"Miss Ivers",ivers
Liv King,objectName,"picture",possession
Liv King,persName,"Miss Ivers",ivers
Liv King,placeName,"Hawaii",state
Liv King,persName,"Mr. Lasky's",lasky
Liv King,persName,"Miss Ivers",ivers
Liv King,placeName,"Seaside hotel",state
Liv King,objectName,"picture",possession
Liv King,placeName,"Kilauea volcano",set
Liv King,persName,"Miss Ivers'",ivers
Liv King,objectName,"books",possession
Liv King,persName,"Sir Gilbert Parker",parker
Liv King,persName,"Sydney [sic] Maugham",maugham
Liv King,persName,"Elinor Glyn",glyn
Liv King,persName,"Miss Ivers",ivers
Liv King,objectName,"books",possession
Liv King,objectName,"picture",possession
Liv King,objectName,"books",possession
Liv King,persName,"Miss Ivers",ivers
Liv King,objectName,"picture",possession
Liv King,persName,"Miss Ivers",ivers
Liv King,placeName,"Hawaiian islands",set
Liv King,persName,"Mrs. Julia Crawford Ivers",ivers
Liv King,orgName,"Lasky corporation",production
Liv King,placeName,"Honolulu",set
Liv King,placeName,"Oahu",set
Liv King,placeName,"Hawaii",state
Liv King,persName,"Mrs. Ivers",ivers
Liv King,placeName,"the Moana",set
Liv King,placeName,"the islands",set
Liv King,placeName,"Los Angeles",city
Liv King,persName,"Mr. Lasky",lasky
Liv King,objectName,"picture",possession
Liv King,placeName,"the mainland",set
Liv King,objectName,"picture",possession
Liv King,placeName,"the islands",set
Liv King,persName,"Mrs. Ivers",ivers
Liv King,placeName,"Hawaii",state
Liv King,placeName,"Honolulu",setting
Liv King,placeName,"Los Angeles",city
Liv King,objectName,"picture",possession
Liv King,placeName,"Honolulu",set
Liv King,persName,"Mrs. Ivers",ivers
Liv King,objectName,"picture",possession
Liv King,objectName,"picture",possession
Liv King,persName,"Mr. Lasky",lasky
Liv King,objectName,"picture",possession
Liv King,persName,"Mrs. Ivers",ivers
Liv King,persName,"Mrs. Ivers",ivers
Liv King,objectName,"the camera",film
Liv King,objectName,"the film",film
Liv King,objectName,"the camera",film
Liv King,objectName,"the film",film
Liv King,objectName,"picture",possession
Liv King,objectName,"cameras",film
Liv King,objectName,"The "Mitchell,"",film
Liv King,objectName,"cameras",film
Liv King,placeName,"the mainland",set
Liv King,objectName,"two other older style cameras",film
Liv King,persName,"Mrs. Ivers",ivers
