Byline,Type,Value,Attribute
Kate Reyen,persName,"CHRISTINA JEWETT",jewett
Kate Reyen,persName,"Mrs. MacLean",mrs.maclean
Kate Reyen,persName,"a man",murderer
Kate Reyen,placeName,"corner",street
Kate Reyen,placeName,"alley",street
Kate Reyen,persName,"he",murderer
Kate Reyen,objectName,"fence",boundary
Kate Reyen,placeName,"alley",street
Kate Reyen,persName,"he",murderer
Kate Reyen,placeName,"garage",storage
Kate Reyen,placeName,"Mr. Jesserun's house",living
Kate Reyen,persName,"He",murderer
Kate Reyen,objectName,"flat shoes",clothing
Kate Reyen,objectName,"bell",instrument
Kate Reyen,persName,"him",murderer
Kate Reyen,objectName,"bell",instrument
Kate Reyen,placeName,"dining room",house
Kate Reyen,persName,"him",murderer
Kate Reyen,persName,"he",murderer
Kate Reyen,objectName,"table",furniture
Kate Reyen,objectName,"table",furniture
Kate Reyen,objectName,"tablecloth",decoration
Kate Reyen,placeName,"the alley",street
Kate Reyen,persName,"Mr. Taylor's man",fellows
Kate Reyen,objectName,"the machine",vehicles
Kate Reyen,objectName,"the machine",vehicles
Kate Reyen,persName,"Mr. Taylor",taylor
Kate Reyen,persName,"Mrs. MacLean",mrs.maclean
Kate Reyen,persName,"Mr. Taylor",taylor
Kate Reyen,persName,"Mrs. MacLean",mrs.maclean
Kate Reyen,persName,"the man",murderer
Kate Reyen,placeName,"the alley",street
Kate Reyen,persName,"Mrs. MacLean",mrs.maclean
Kate Reyen,persName,"Mrs. MacLean",mrs.maclean
Kate Reyen,persName,"Mr. Taylor",taylor
Kate Reyen,persName,"Mrs. MacLean",mrs.maclean
Kate Reyen,persName,"Mr. Taylor",taylor
Kate Reyen,persName,"Mr. Taylor",taylor
Kate Reyen,persName,"Mr. Taylor",taylor
Kate Reyen,persName,"CHARLES DOUGLAS MacLEAN",charles maclean
Kate Reyen,persName,"officers",police
Kate Reyen,eventName,"night of the murder",death
Kate Reyen,eventName,"dinner",meal
Kate Reyen,eventName,"dinner",meal
Kate Reyen,objectName,"table",furniture
Kate Reyen,placeName,"upstairs",house
Kate Reyen,objectName,"heater",appliance
Kate Reyen,placeName,"front room",house
Kate Reyen,objectName,"radiator",appliance
Kate Reyen,objectName,"radiator",appliance
Kate Reyen,placeName,"backroom upstairs",house
Kate Reyen,placeName,"front room",house
Kate Reyen,objectName,"coat",clothing
Kate Reyen,placeName,"bath room",house
Kate Reyen,objectName,"heater",appliance
Kate Reyen,persName,"Mr. Taylor's",taylor
Kate Reyen,objectName,"clothing",clothing
Kate Reyen,objectName,"coat",clothing
Kate Reyen,objectName,"coat",clothing
Kate Reyen,objectName,"coat",clothing
Kate Reyen,objectName,"dummy",prop
Kate Reyen,placeName,"department store",store
Kate Reyen,objectName,"window",house
Kate Reyen,placeName,"store",store
Kate Reyen,objectName,"wax figure",prop
Kate Reyen,persName,"MRS. FAITH MACLEAN",mrs.maclean
Kate Reyen,persName,"Mr. Taylor",taylor
Kate Reyen,persName,"His colored servant",peavey
Kate Reyen,placeName,"the house",scene
Kate Reyen,orgName,"Police",police
Kate Reyen,persName,"Mr. Taylor",taylor
Kate Reyen,persName,"Mr. Taylor",taylor
Kate Reyen,eventName,"the night before",murder
Kate Reyen,objectName,"muffler",car
Kate Reyen,placeName,"the porch",house
Kate Reyen,objectName,"front door",house
Kate Reyen,persName,"a man",murderer
Kate Reyen,objectName,"door",house
Kate Reyen,placeName,"Mr. Taylor's house",scene
Kate Reyen,placeName,"Alverado St",location
Kate Reyen,persName,"him",murderer
Kate Reyen,objectName,"door",house
Kate Reyen,objectName,"screen",door
Kate Reyen,objectName,"screen door",house
Kate Reyen,objectName,"screen door",house
Kate Reyen,persName,"his",murderer
Kate Reyen,persName,"he",murderer
Kate Reyen,objectName,"door",house
Kate Reyen,persName,"he",murderer
Kate Reyen,objectName,"door",house
Kate Reyen,persName,"he",murderer
Kate Reyen,persName,"his",murderer
Kate Reyen,objectName,"cap",clothing
Kate Reyen,placeName,"Taylor's apartment",scene
Kate Reyen,placeName,"the street",street
Kate Reyen,objectName,"open door",house
Kate Reyen,persName,"he",murderer
Kate Reyen,persName,"he",murderer
Kate Reyen,persName,"He",murderer
Kate Reyen,persName,"Mr. Taylor",taylor
Kate Reyen,persName,"him",murderer
Kate Reyen,placeName,"the house",                      scene
Kate Reyen,persName,"he",murderer
Kate Reyen,persName,"he",murderer
Kate Reyen,objectName,"door",house
Kate Reyen,persName,"the man",murderer
Kate Reyen,placeName,"Alvarado St",location
Kate Reyen,persName,"He",murderer
Kate Reyen,placeName,"Maryland St.",location
Kate Reyen,placeName,"the alley",street
Kate Reyen,placeName,"between the two houses",street
Kate Reyen,persName,"he",murderer
Kate Reyen,objectName,"door",house
Kate Reyen,persName,"Taylor",taylor
Kate Reyen,persName,"Taylor",taylor
Kate Reyen,persName,"the man",murderer
Kate Reyen,persName,"Mr. Taylor",taylor
Kate Reyen,persName,"Howard Fellows",fellows
Kate Reyen,persName,"the boy or was the man",murderer
Kate Reyen,persName,"that man",murderer
Kate Reyen,persName,"the man",murderer
Kate Reyen,persName,"he",murderer
Kate Reyen,persName,"the man",murderer
Kate Reyen,objectName,"chauffeur's uniform",clothing
Kate Reyen,persName,"his",murderer
Kate Reyen,objectName,"cap",clothing
Kate Reyen,persName,"his",murderer
Kate Reyen,persName,"the man",murderer
Kate Reyen,objectName,"over-coat",clothing
Kate Reyen,persName,"His",murderer
Kate Reyen,persName,"the man",murderer
Kate Reyen,persName,"He",murderer
Kate Reyen,persName,"he",murderer
Kate Reyen,persName,"He",murderer
Kate Reyen,objectName,"cap",clothing
Kate Reyen,objectName,"cap",clothing
Kate Reyen,persName,"his",murderer
Kate Reyen,persName,"his",murderer
Kate Reyen,objectName,"suit",clothing
Kate Reyen,objectName,"suit",clothing
Kate Reyen,persName,"Mr. Smith",smith
Kate Reyen,persName,"Mr. Smith",smith
Kate Reyen,persName,"Mr. Smith",smith
Kate Reyen,persName,"Mr. Henry King",king
Kate Reyen,persName,"Mr. Mahlon Hamilton",hamilton
Kate Reyen,persName,"Mr. Arthur Hoyt",hoyt
Kate Reyen,persName,"Mr. Berris",berris
Kate Reyen,persName,"Mr. Ince",ince
