Byline,Type,Value,Attribute
Hunter Sloan,persName,"(Mary)",minter
Hunter Sloan,eventName,"dinner",eating
Hunter Sloan,persName,"mama",shelby
Hunter Sloan,persName,"she",minter
Hunter Sloan,persName,"she",shelby
Hunter Sloan,persName,"she",minter
Hunter Sloan,placeName,"living room",house
Hunter Sloan,persName,"Mary",minter
Hunter Sloan,objectName,"couch",furniture
Hunter Sloan,objectName,"book",lesiure
Hunter Sloan,objectName,""The Cruise of the South Sea Islands"",posession
Hunter Sloan,persName,"she",minter
Hunter Sloan,placeName,"home",residence
Hunter Sloan,placeName,"home",redsidence
Hunter Sloan,persName,"mother",shelby
Hunter Sloan,placeName,"home",redsidence
Hunter Sloan,persName,"she",shelby
Hunter Sloan,persName,"she",shelby
Hunter Sloan,persName,"Mr. Fitts",fitts
Hunter Sloan,persName,"mama",shelby
Hunter Sloan,persName,"Mary",minter
Hunter Sloan,persName,"I",mshelby
Hunter Sloan,persName,"Mary",minter
Hunter Sloan,placeName,"home",redsidence
Hunter Sloan,persName,"mama",shelby
Hunter Sloan,placeName,"Mary's room",house
Hunter Sloan,persName,"I",mshelby
Hunter Sloan,persName,"her",minter
Hunter Sloan,persName,"I",mshelby
Hunter Sloan,persName,"she",minter
Hunter Sloan,persName,"she",minter
Hunter Sloan,persName,"mother",shelby
Hunter Sloan,placeName,"Hobart house",redsidence
Hunter Sloan,persName,"she",shelby
Hunter Sloan,placeName,"Hobart house",redsidence
Hunter Sloan,persName,"she",shelby
Hunter Sloan,eventName,"Taylor had been killed",death
Hunter Sloan,persName,"She",shelby
Hunter Sloan,persName,"Margery Berger",berger
Hunter Sloan,persName,"Mr. Taylor",taylor
Hunter Sloan,placeName,"Hobart house",redsidence
Hunter Sloan,placeName,"New Hampshire house",redsidence
Hunter Sloan,persName,"she",shelby
Hunter Sloan,persName,"she",shelby
Hunter Sloan,persName,"she",shelby
Hunter Sloan,persName,"I",mshelby
Hunter Sloan,persName,"mother",shelby
Hunter Sloan,placeName,"mother's room",house
Hunter Sloan,persName,"Mary",minter
Hunter Sloan,placeName,"house",redsidence
Hunter Sloan,placeName,"office",office
Hunter Sloan,placeName,"office",office
Hunter Sloan,placeName,"office",office
Hunter Sloan,placeName,"office",office
Hunter Sloan,placeName,"dressing room",studio
Hunter Sloan,placeName,"dressing room",studio
Hunter Sloan,placeName,"my office",office
Hunter Sloan,placeName,"dressing room",studio
Hunter Sloan,placeName,"set",studio
Hunter Sloan,placeName,"Engstrom Apartments, Los Angeles",redsidence
Hunter Sloan,placeName,"house",redsidence
