Byline,Type,Value,Attribute
Riley Twiss,persName,"Carl Stockdale",Carl
Riley Twiss,persName,"Charlotte Shelby",Charlotte
Riley Twiss,persName,"Mary Miles Minter",Mary
Riley Twiss,persName,"William Desmond Taylor",taylor
Riley Twiss,persName,"Edward Sands",Edward
Riley Twiss,persName,"Margaret Shelby Fillmore",Margret
Riley Twiss,persName,"VERNE DUMAS",Verne
Riley Twiss,objectName,"stone",Material
Riley Twiss,objectName,"towel",Cloth
Riley Twiss,objectName,"robe",clothing
Riley Twiss,objectName,"desk",Furniture
Riley Twiss,objectName,"rug",Furniture
Riley Twiss,objectName,"rug",Furniture
Riley Twiss,objectName,"foot",Body
Riley Twiss,objectName,"chair",Furniture
Riley Twiss,objectName,"foot",Body
Riley Twiss,objectName,"chair",Furniture
Riley Twiss,objectName,"desk",Furniture
Riley Twiss,objectName,"desk",Furniture
Riley Twiss,objectName,"chair",furniture
Riley Twiss,objectName,"head",Body
Riley Twiss,objectName,"desk",Furniture
Riley Twiss,objectName,"table",Furniture
