Byline,Type,Value,Attribute
Amanda Woertz,persName,"Coroner's",Coroner
Amanda Woertz,persName,"Coroner's",Coroner
Amanda Woertz,eventName,"inquest",investigation
Amanda Woertz,persName,"William Desmond Taylor",Taylor
Amanda Woertz,persName,"T.H. Ziegler",Ziegler
Amanda Woertz,eventName,"testified",investigation
Amanda Woertz,persName,"T.H. Ziegler",Ziegler
Amanda Woertz,placeName,"425 North Hill",house
Amanda Woertz,persName,"Mr. Ziegler",Ziegler
Amanda Woertz,placeName,"premises",house
Amanda Woertz,eventName,"found dead",investigation
Amanda Woertz,placeName,"there",house
Amanda Woertz,placeName,"there",house
Amanda Woertz,persName,"Mr. Taylor",Taylor
Amanda Woertz,placeName,"inside",house
Amanda Woertz,persName,"his",Taylor
Amanda Woertz,objectName,"back",body
Amanda Woertz,persName,"His",Taylor
Amanda Woertz,objectName,"hands",body
Amanda Woertz,persName,"his",Taylor
Amanda Woertz,persName,"body",Taylor
Amanda Woertz,objectName,"blood",body
Amanda Woertz,persName,"his",Taylor
Amanda Woertz,objectName,"mouth",body
Amanda Woertz,persName,"He",Taylor
Amanda Woertz,persName,"his",Taylor
Amanda Woertz,objectName,"head",body
Amanda Woertz,placeName,"east",location
Amanda Woertz,persName,"his",Taylor
Amanda Woertz,objectName,"back",body
Amanda Woertz,persName,"his",Taylor
Amanda Woertz,persName,"he",Taylor
Amanda Woertz,persName,"sir",Nance
Amanda Woertz,objectName,"evidence",investigation
Amanda Woertz,placeName,"house",house
Amanda Woertz,placeName,"there",house
Amanda Woertz,placeName,"there",house
Amanda Woertz,persName,"owner",Jessurun
Amanda Woertz,objectName,"building",building
Amanda Woertz,persName,"Mr. MacLean",Mr MacLean
Amanda Woertz,persName,"movie actor",Maigne
Amanda Woertz,persName,"Charles Maigne",Maigne
Amanda Woertz,persName,"Peavey",Peavey
Amanda Woertz,persName,"owner",Jessurn
Amanda Woertz,objectName,"building",building
Amanda Woertz,persName,"Mr. Jessurun",Jessurun
Amanda Woertz,persName,"sir",Nance
Amanda Woertz,persName,"Mr. MacLean",Mr MacLean
Amanda Woertz,placeName,"adjacent",location
Amanda Woertz,persName,"tenants",tenants
Amanda Woertz,objectName,"building",building
Amanda Woertz,persName,"sir",Nance
Amanda Woertz,placeName,"next door",location
Amanda Woertz,placeName,"east",location
Amanda Woertz,persName,"Mr. Taylor",Taylor
Amanda Woertz,eventName,"question",investigation
Amanda Woertz,persName,"persons",tenants
Amanda Woertz,persName,"Mrs. MacLean", Mrs MacLean
Amanda Woertz,persName,"she",Mrs Maclean
Amanda Woertz,objectName,"a shot",gun
Amanda Woertz,persName,"She",Mrs MacLean
Amanda Woertz,persName,"She",Mrs MacLean
Amanda Woertz,persName,"her",Mrs MacLean
Amanda Woertz,placeName,"front door",house
Amanda Woertz,persName,"man",Murderer
Amanda Woertz,persName,"Mr. Taylor's",Taylor
Amanda Woertz,persName,"She",Mrs MacLean
Amanda Woertz,persName,"him",Murderer
Amanda Woertz,persName,"he",Murderer
Amanda Woertz,persName,"her",Mrs MacLean
Amanda Woertz,persName,"he",Murderer
Amanda Woertz,objectName,"steps",house
Amanda Woertz,placeName,"end of the building",building
Amanda Woertz,placeName,"east",location
Amanda Woertz,objectName,"street",location
Amanda Woertz,objectName,"street",location
Amanda Woertz,placeName,"Maryland",location
Amanda Woertz,persName,"Mr. Jessurun",Jessurun
Amanda Woertz,persName,"he",Jessurn
Amanda Woertz,objectName,"a shot",gun
