Byline,Type,Value,Attribute
Lucy DiChristina,persName,"Marshall",#director
Lucy DiChristina,persName,"Mr Taylor",#director
Lucy DiChristina,persName,"Bill's",#director
Lucy DiChristina,eventName,"soberly",sober
Lucy DiChristina,persName,"Mr Taylor's",#director
Lucy DiChristina,eventName,"drunk",drunk
Lucy DiChristina,persName,"Marshall",#director
Lucy DiChristina,persName,"Bill",#director
Lucy DiChristina,eventName,"intoxicated",drunk
Lucy DiChristina,persName,"Marshall",#director
Lucy DiChristina,persName,"Bill",#director
Lucy DiChristina,persName,"Arthur Hoyt",#director
Lucy DiChristina,persName,"Cap Robinson",#law_enforcement
Lucy DiChristina,persName,"Mr Taylor's",#director
Lucy DiChristina,persName,"Marshall",#director
Lucy DiChristina,persName,"Mr Taylor",#director
Lucy DiChristina,eventName,"murder",murder
Lucy DiChristina,persName,"Mr Taylor",#director
Lucy DiChristina,persName,"Marshall",#director
Lucy DiChristina,persName,"Mary",#actor
Lucy DiChristina,persName,"Mary",#actor
Lucy DiChristina,eventName,"love",love
Lucy DiChristina,eventName,"live",life
Lucy DiChristina,objectName,"cigarette",posession
Lucy DiChristina,placeName,"home",residence
Lucy DiChristina,eventName,"murder",murder
Lucy DiChristina,persName,"Marshall",#director
Lucy DiChristina,persName,"Mary",#actor
Lucy DiChristina,persName,"Mary",#actor
Lucy DiChristina,eventName,"murder",murder
Lucy DiChristina,persName,"Bill",#director
Lucy DiChristina,persName,"Mr Taylor",#director
Lucy DiChristina,eventName,"killed",murder
Lucy DiChristina,persName,"Mr Taylor",#director
Lucy DiChristina,eventName,"affair",affair
Lucy DiChristina,eventName,"kill",murder
Lucy DiChristina,persName,"William Desmond Taylor",#director
Lucy DiChristina,eventName,"murdered",murder
Lucy DiChristina,eventName,"kill",murder
Lucy DiChristina,eventName,"killing",murder
Lucy DiChristina,eventName,"killing",murder
Lucy DiChristina,orgName,"scenario writer",writer
Lucy DiChristina,orgName,"camera man",job
Lucy DiChristina,orgName,"camera man",job
Lucy DiChristina,placeName,"France",country
