Byline,Type,Value,Attribute
Henry Gibbons,persName,"EARL TIFFANY",tiffany
Henry Gibbons,persName,"W.D. Taylor",taylor
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,objectName,"money",money
Henry Gibbons,objectName,"money",money
Henry Gibbons,objectName,"book",book
Henry Gibbons,objectName,"book",book
Henry Gibbons,objectName,"checks",money
Henry Gibbons,objectName,"checks",money
Henry Gibbons,objectName,"money",money
Henry Gibbons,persName,"Mr. Taylor",taylor
Henry Gibbons,persName,"Mary Miles Minter",Minter
Henry Gibbons,persName,"Mabel Normand",mabel
Henry Gibbons,persName,"Edna Purviance",purviance
Henry Gibbons,persName,"Mr. Dustin Farnum",farnum
Henry Gibbons,persName,"Miss Gerber",gerber
Henry Gibbons,persName,"Taylor's",taylor
Henry Gibbons,objectName,"door",door
Henry Gibbons,objectName,"front door",door
Henry Gibbons,placeName,"house",residence
Henry Gibbons,placeName,"house?",residence
Henry Gibbons,persName,"Harry Fellow",harry fellow
Henry Gibbons,persName,"Howard Fellows",howard fellows
Henry Gibbons,persName,"Bill Davis",bill davis
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Mr. Taylor's",taylor
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Taylor's",taylor
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"Deane-Tanner",deane tanner
Henry Gibbons,persName,"Deane-Tanner",deane tanner
Henry Gibbons,persName,"Taylor's",taylor
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Mr. Taylor",taylor
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Mr. Taylor's",taylor
Henry Gibbons,persName,"Mary Miles Minter",minter
Henry Gibbons,persName,"Mabel Normand",mabel
Henry Gibbons,persName,"Miss Neva Gerber",gerber
Henry Gibbons,persName,"POLICE",law
Henry Gibbons,placeName,"bed",place
Henry Gibbons,objectName,"paper",paper
Henry Gibbons,persName,"Taylor's",taylor
Henry Gibbons,persName,"Mary",minter
Henry Gibbons,persName,"Taylor",taylor
Henry Gibbons,persName,"Mary",minter
Henry Gibbons,persName,"Mr. Taylor",taylor
Henry Gibbons,objectName,"car",vechile
Henry Gibbons,placeName,"house",residence
Henry Gibbons,persName,"M.M. Minter",minter
Henry Gibbons,placeName,"house",residence
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,placeName,"16th street",street
Henry Gibbons,objectName,"street car",vechile
Henry Gibbons,objectName,"cap",clothing
Henry Gibbons,objectName,"grey cap",clothing
Henry Gibbons,objectName,"grey overcoat",clothing
Henry Gibbons,objectName,"coat",clothing
Henry Gibbons,persName,"my wife",spouse
Henry Gibbons,persName,"5 ft. 6 1/2 or 7 inches",sands
Henry Gibbons,persName,"About 187 pounds",sands
Henry Gibbons,persName,"was blonde but his beard was dark",sands
Henry Gibbons,objectName,"glasses",accessory
Henry Gibbons,objectName,"shoe",accessory
Henry Gibbons,persName,"Sands'",sands
Henry Gibbons,persName,"Sands",sands
Henry Gibbons,objectName,"carried a gun or not",murder
Henry Gibbons,objectName,"gun",murder
Henry Gibbons,objectName,"Colt's",gun
Henry Gibbons,persName,"Mr. Taylor's",taylor
Henry Gibbons,objectName,"car",vechile
Henry Gibbons,persName,"Sands",sands
