Byline,Type,Value,Attribute
Daniel Hou,persName,"JAMES KIRKWOOD",kirkwood
Daniel Hou,persName,"MARY MILES MINTER",minter
Daniel Hou,persName,"James Kirkwood",kirkwood
Daniel Hou,persName,"actor and motion-picture director",kirkwood
Daniel Hou,persName,"Mary Miles Minter's",minter
Daniel Hou,persName,"first director",kirkwood
Daniel Hou,objectName,"pictures",document
Daniel Hou,orgName,"the American Film Company",production
Daniel Hou,placeName,"Santa Barbara",Santa_Barbara
Daniel Hou,persName,"She",minter
Daniel Hou,eventName,"Kirkwood then consummated the marriage in a much more mundane way as a result of which Mary became pregnant",love
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"Mary",minter
Daniel Hou,eventName,"Intercourse went on for a number of months",love
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,placeName,"New York",city
Daniel Hou,eventName,"Kirkwood wrote a series of letters to Mary",contaction
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,objectName,"letters",document
Daniel Hou,persName,"Mary",minter
Daniel Hou,orgName,"the motion-picture company",production
Daniel Hou,persName,"Mary",minter
Daniel Hou,objectName,"letters",document
Daniel Hou,objectName,"plain white envelopes",document
Daniel Hou,persName,"“Juliet”",minter
Daniel Hou,persName,"Mary's",minter
Daniel Hou,persName,"her mother",cshelby
Daniel Hou,persName,"Mrs. Charlotte Shelby",cshelby
Daniel Hou,eventName,"always a suspect in the Taylor murder",murder
Daniel Hou,persName,"suspect",cshelby
Daniel Hou,persName,"Taylor",taylor
Daniel Hou,persName,"girl's",minter
Daniel Hou,persName,"the mother",cshelby
Daniel Hou,objectName,"all kinds of diets",food
Daniel Hou,eventName,"The correspondence between Kirkwood and Mary continued",conatction
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"Mary",minter
Daniel Hou,eventName,"but the mother at last intercepted one of the letters",contaction
Daniel Hou,persName,"the mother",cshelby
Daniel Hou,objectName,"one of the letters",document
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,placeName,"the Lamb's Club",lambs_club
Daniel Hou,placeName,"New York",city
Daniel Hou,persName,"Mrs. Shelby",cshelby
Daniel Hou,persName,"she",cshelby
Daniel Hou,eventName,"Mary was forced to write a letter to Kirkwood saying that they had been found out and that her mother insisted that their romance end at once",contaction
Daniel Hou,persName,"Mary",minter
Daniel Hou,objectName,"letter",doument
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,eventName,"romance",love
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,objectName,"letters",document
Daniel Hou,persName,"him",kirkwood
Daniel Hou,persName,"Mary",minter
Daniel Hou,persName,"The mother",cshelby
Daniel Hou,objectName,"collection of letters",document
Daniel Hou,objectName,"a safe-deposit box",box
Daniel Hou,eventName,"They were given to Mary recently",contaction
Daniel Hou,objectName,"They",document
Daniel Hou,persName,"Mary",minter
Daniel Hou,eventName,"Mary's sister, Margaret Fillmore, had a falling out with her mother",relationship
Daniel Hou,persName,"Mary's sister",mshelby
Daniel Hou,persName,"Margaret Fillmore",mshelby
Daniel Hou,persName,"her mother",cshelby
Daniel Hou,persName,"The mother",cshelby
Daniel Hou,objectName,"letters",document
Daniel Hou,persName,"Mary",minter
Daniel Hou,persName,"her",minter
Daniel Hou,persName,"her mother",cshelby
Daniel Hou,objectName,"missives",document
Daniel Hou,persName,"Margaret",mshelby
Daniel Hou,objectName,"letters",document
Daniel Hou,eventName,"accused her of murdering Taylor that she could prove that if she was ever going to murder anyone she would have murdered Kirkwood at the time",murder
Daniel Hou,persName,"her",cshelby
Daniel Hou,persName,"Taylor",taylor
Daniel Hou,persName,"she",cshelby
Daniel Hou,persName,"she",cshelby
Daniel Hou,persName,"she",cshelby
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"man",kirkwood
Daniel Hou,persName,"the young screen star",minter
Daniel Hou,eventName,"writing two and three letters a day and all the missives were ended in a long series of “X’s” or kisses",contaction
Daniel Hou,objectName,"letters",document
Daniel Hou,objectName,"all the missives",document
Daniel Hou,objectName,"letters",document
Daniel Hou,persName,"My sweetheart",minter
Daniel Hou,persName,"my wife",minter
Daniel Hou,persName,"the mother of my children",minter
Daniel Hou,objectName,"the letter",document
Daniel Hou,persName,"Mary",minter
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"she",minter
Daniel Hou,persName,"Dr. Hutchison",Hutchison
Daniel Hou,eventName,"It seems that Kirkwood or Mrs. Shelby arranged for this abortion",love
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"Mrs. Shelby",cshelby
Daniel Hou,persName,"Mary",minter
Daniel Hou,eventName,"this romance",love
Daniel Hou,persName,"her mother,",cshelby
Daniel Hou,persName,"her grandmother",miles
Daniel Hou,persName,"her sister",mshelby
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"Mary",minter
Daniel Hou,eventName,"her romance with Kirkwood",love
Daniel Hou,persName,"Kirkwood",kirkwood
Daniel Hou,persName,"William Desmond Taylor",taylor
Daniel Hou,persName,"she",minter
Daniel Hou,eventName,"her affair with Kirkwood",love
Daniel Hou,persName,"her",minter
Daniel Hou,persName,"Kirkwood",kirkwood
