Byline,Type,Value,Attribute
Diane Jakacki,eventName,"she had killed Taylor",murder
Diane Jakacki,objectName,"securities",document
Diane Jakacki,eventName,"the Taylor murder",murder
Diane Jakacki,objectName,"schedule",document
Diane Jakacki,objectName,"statement",document
Diane Jakacki,placeName,"Laughlin Park property",residence
Diane Jakacki,placeName,"the house",residence
Diane Jakacki,eventName,"death",mortality
Diane Jakacki,placeName,"Portland Flouring Mills",business
Diane Jakacki,orgName,"First National Bank",business
