Byline,Type,Value,Attribute
Campbell Killian,persName,"Henry Peavey",Peavey
Campbell Killian,persName,"Mabel Normand",Normand
Campbell Killian,persName,"Henry Peavey",Peavey
Campbell Killian,persName,"Taylor",Taylor
Campbell Killian,persName,"Mabel Normand",Normand
Campbell Killian,persName,"Taylor",Taylor
Campbell Killian,placeName,"San Francisco",city
Campbell Killian,persName,"Henry Peavey",peavey
Campbell Killian,persName,"William Desmond Taylor",taylor
Campbell Killian,placeName,"a northern California city",city
Campbell Killian,orgName,"United Press",newspaper
Campbell Killian,persName,"I",peavey
Campbell Killian,placeName,"Los Angeles",city
Campbell Killian,persName,"I",peavey
Campbell Killian,persName,"district attorney",DA
Campbell Killian,persName,"Taylor",taylor
Campbell Killian,persName,"I'll",peavey
Campbell Killian,persName,"Dr. Thomas Filben",filben
Campbell Killian,persName,"Taylor",taylor
Campbell Killian,persName,"Dr. Filbin",filben
Campbell Killian,persName,"Peavey",peavey
Campbell Killian,orgName,"California Law Enforcement League",law
Campbell Killian,persName,"Peavey",peavey
Campbell Killian,persName,"Otis Hefner",Hefner
Campbell Killian,orgName,"United Press",newspaper
Campbell Killian,persName,"I'd",peavey
Campbell Killian,persName,"Mr. Taylor",taylor
Campbell Killian,persName,"he",taylor
Campbell Killian,persName,"Peavey",peavey
Campbell Killian,persName,"Mr. Taylor's",taylor
Campbell Killian,placeName,"house",home
Campbell Killian,placeName,"downtown",LA
Campbell Killian,persName,"Mr. Taylor",taylor
Campbell Killian,persName,"Peavey",peavey
Campbell Killian,persName,"Peavey",peavey
Campbell Killian,persName,"Dr. Filben",filben
Campbell Killian,placeName,"Los Angeles",city
Campbell Killian,persName,"Mr. Taylor's",taylor
Campbell Killian,placeName,"Los Angeles",LA
Campbell Killian,persName,"Dr. Filbin",filben
Campbell Killian,orgName,"district attorney",DA
Campbell Killian,persName,"Taylor",taylor
Campbell Killian,persName,"Peavey's",peavey
Campbell Killian,persName,"Taylor",taylor
Campbell Killian,persName,"Taylor",taylor
Campbell Killian,placeName,"Taylor's house",home
Campbell Killian,placeName,"house",home
Campbell Killian,placeName,"San Francisco",city
Campbell Killian,orgName,"Corona Typewriter",peaveyjob
Campbell Killian,persName,"Dr. Filben",filben
Campbell Killian,persName,"Taylor",taylor
Campbell Killian,placeName,"Los Angeles",city
Campbell Killian,placeName,"city",city
Campbell Killian,persName,"Peavey",peavey
Campbell Killian,persName,"Dr. Filben",filben
Campbell Killian,placeName,"San Francisco",city
Campbell Killian,placeName,"Peavey's home",peavey
Campbell Killian,persName,"Henry",peavey
Campbell Killian,persName,"Henry's",peavey
Campbell Killian,persName,"Peavey",peavey
Campbell Killian,placeName,"Los Angeles",city
Campbell Killian,persName,"Mr. Taylor",taylor
Campbell Killian,persName,"Mr. Taylor",taylor
