Byline,Type,Value,Attribute
Blythe Sena,persName,"Mabel Normand",normand
Blythe Sena,persName,"Henry peavy",peavy
Blythe Sena,persName,"Coroner",corner
Blythe Sena,persName,"William Desmond Taylor",taylor
Blythe Sena,placeName,"Ivy H. Overholtzer",mortuary
Blythe Sena,placeName,"Los Angeles, California",city
Blythe Sena,persName,"Mabel Normand",normand
Blythe Sena,placeName,"reside",residence
Blythe Sena,placeName,"3089 West Seventh",address
Blythe Sena,orgName,"Motion pictures.",hollywood
Blythe Sena,persName,"Miss Normand",normand
Blythe Sena,persName,"Mr. Taylor",taylor
Blythe Sena,eventName,"death",mortality
Blythe Sena,eventName,"went in",entering
Blythe Sena,placeName,"home",home
Blythe Sena,eventName,"occasion",meeting
Blythe Sena,eventName,"7 o'clock and left at a quarter to 8",alibi
Blythe Sena,placeName,"place",home
Blythe Sena,placeName,"house",home
Blythe Sena,placeName,"outside",outside
Blythe Sena,objectName,"car",transportation
Blythe Sena,objectName,"car",transportation
Blythe Sena,placeName,"court",law
Blythe Sena,placeName,"Alvarado street?",address
Blythe Sena,placeName,"hill",hill
Blythe Sena,objectName,"car",transportation
Blythe Sena,objectName,"car",transportation
Blythe Sena,objectName,"stairs",stairs
Blythe Sena,placeName,"house",home
Blythe Sena,persName,"Henry",peavy
Blythe Sena,persName,"Henry Peavey?",peavy
Blythe Sena,persName,"Mr. Peavey",peavy
Blythe Sena,placeName,"house",home
Blythe Sena,persName,"my chauffeur;",staff
Blythe Sena,persName,"Henry Peavey",peavy
Blythe Sena,placeName,"his place?",home
Blythe Sena,objectName,"sidewalk",road
Blythe Sena,placeName,"home",home
Blythe Sena,objectName,"bed",furniture
Blythe Sena,persName,"my maid",maid
Blythe Sena,persName,"Gentlemen",jury
Blythe Sena,persName,"shorthand reporter",reporter
Blythe Sena,persName,"Coroner",coroner
Blythe Sena,persName,"E.M. Allen, Shorthand Reporter",reporter
Blythe Sena,placeName,"Taylor's home",home
Blythe Sena,placeName,"house",home
Blythe Sena,persName,"Peavey",peavy
Blythe Sena,placeName,"room",room
Blythe Sena,objectName,"his desk",furniture
Blythe Sena,placeName,"house",home
Blythe Sena,persName,"Taylor",taylor
Blythe Sena,objectName,"street clothes",clothing
Blythe Sena,objectName,"smoking jacket",clothing
Blythe Sena,objectName,"house jacket",clothing
Blythe Sena,objectName,"street clothes",clothing
Blythe Sena,persName,"HENRY peavy",peavy
Blythe Sena,persName,"Valet",staff
Blythe Sena,persName,"house servant",staff
Blythe Sena,persName,"POLICE",enforcement
Blythe Sena,persName,"Mr. Taylor's body",taylor
Blythe Sena,objectName,"davenport",evidence
Blythe Sena,placeName,"room",room
Blythe Sena,placeName,"rooms",room
Blythe Sena,objectName,"chair",furniture
Blythe Sena,eventName,"died",mortality
Blythe Sena,objectName,"chair",furniture
Blythe Sena,objectName,"mail box",furniture
Blythe Sena,placeName,"front porch"",home
Blythe Sena,objectName,"box",furniture
Blythe Sena,objectName,"gold tipped cigarette",cigarette
Blythe Sena,persName,"Mr. Taylor",taylor
Blythe Sena,objectName,"gold tipped cigarettes",cigarettes
Blythe Sena,objectName,"front door",home
Blythe Sena,persName,"Mr. Taylor's body",taylor
Blythe Sena,objectName,"door",furniture
Blythe Sena,objectName,"The screen door",home
Blythe Sena,objectName,"the windows",furniture
Blythe Sena,placeName,"first floor",home
Blythe Sena,persName,"Mabel Normand",normand
Blythe Sena,persName,"Henry",peavy
Blythe Sena,persName,"Mr. Taylor",taylor
Blythe Sena,persName,"Mr. Taylor",taylor
Blythe Sena,persName,"baby",baby
Blythe Sena,persName,"Mr. Taylor",taylor
Blythe Sena,persName,"Miss Normand",normand
Blythe Sena,persName,"Mr. Taylor",taylor
Blythe Sena,persName,"Miss Normand.",normand
