Byline,Type,Value,Attribute
Hunter Sloan,persName,"(Mary)",#actor
Hunter Sloan,eventName,"dinner",eating
Hunter Sloan,persName,"mama",#family
Hunter Sloan,persName,"she",#family
Hunter Sloan,persName,"she",#actor
Hunter Sloan,placeName,"living room",house
Hunter Sloan,persName,"Mary",#actor
Hunter Sloan,objectName,"couch",furniture
Hunter Sloan,objectName,"book",lesiure
Hunter Sloan,objectName,""The Cruise of the South Sea Islands"",posession
Hunter Sloan,persName,"she",#actor
Hunter Sloan,placeName,"home",residence
Hunter Sloan,placeName,"home",redsidence
Hunter Sloan,persName,"mother",#family
Hunter Sloan,placeName,"home",redsidence
Hunter Sloan,persName,"she",#family
Hunter Sloan,persName,"she",#family
Hunter Sloan,persName,"Mr. Fitts",#law_enforcement
Hunter Sloan,persName,"mama",#family
Hunter Sloan,persName,"Mary",#actor
Hunter Sloan,persName,"I",#family
Hunter Sloan,persName,"Mary",#actor
Hunter Sloan,placeName,"home",redsidence
Hunter Sloan,persName,"mama",#family
Hunter Sloan,placeName,"Mary's room",house
Hunter Sloan,persName,"I",#family
Hunter Sloan,persName,"her",#actor
Hunter Sloan,persName,"I",#family
Hunter Sloan,persName,"she",#actor
Hunter Sloan,persName,"she",#actor
Hunter Sloan,persName,"mother",#family
Hunter Sloan,placeName,"Hobart house",redsidence
Hunter Sloan,persName,"she",#family
Hunter Sloan,placeName,"Hobart house",redsidence
Hunter Sloan,persName,"she",#family
Hunter Sloan,eventName,"Taylor had been killed",death
Hunter Sloan,persName,"She",shelby
Hunter Sloan,persName,"Margery Berger",berger
Hunter Sloan,persName,"She",#family
Hunter Sloan,persName,"Margery Berger",#professional
Hunter Sloan,persName,"Mr. Taylor",#director
Hunter Sloan,placeName,"Hobart house",redsidence
Hunter Sloan,placeName,"New Hampshire house",redsidence
Hunter Sloan,persName,"she",#family
Hunter Sloan,persName,"she",#family
Hunter Sloan,persName,"Miss Berger",berger
Hunter Sloan,persName,"she",#family
Hunter Sloan,persName,"I",#family
Hunter Sloan,persName,"mother",#family
Hunter Sloan,persName,"Mary",minter
Hunter Sloan,persName,"mother",shelby
Hunter Sloan,persName,"Mrs. Shelby",shelby
Hunter Sloan,persName,"Taylor",taylor
Hunter Sloan,persName,"She",minter
Hunter Sloan,placeName,"mother's room",house
Hunter Sloan,persName,"Mary",#actor
Hunter Sloan,persName,"Mrs. Shelby",shelby
Hunter Sloan,persName,"she",shelby
Hunter Sloan,persName,"she",shelby
Hunter Sloan,placeName,"house",redsidence
Hunter Sloan,persName,"She",shelby
Hunter Sloan,persName,"I",whitney
Hunter Sloan,persName,"Taylor's",taylor
Hunter Sloan,persName,"Mary",minter
Hunter Sloan,persName,"Mrs. Shelby",shelby
Hunter Sloan,persName,"she (Shelby)",shelby
Hunter Sloan,persName,"him (Taylor)",taylor
Hunter Sloan,placeName,"office",office
Hunter Sloan,placeName,"office",office
Hunter Sloan,persName,"He",taylor
Hunter Sloan,persName,"Mary",minter
Hunter Sloan,persName,"Charley Maigne",maigne
Hunter Sloan,persName,"her",minter
Hunter Sloan,persName,"Charley",maigne
Hunter Sloan,placeName,"office",office
Hunter Sloan,persName,"Taylor",Taylor
Hunter Sloan,placeName,"office",office
Hunter Sloan,persName,"She",shelby
Hunter Sloan,persName,"I",shelby
Hunter Sloan,persName,"Mary",minter
Hunter Sloan,persName,"I",shelby
Hunter Sloan,persName,"Monte Blue",blue
Hunter Sloan,placeName,"dressing room",studio
Hunter Sloan,persName,"Mrs. Shelby",shelby
Hunter Sloan,persName,"I",whitney
Hunter Sloan,placeName,"dressing room",studio
Hunter Sloan,placeName,"my office",office
Hunter Sloan,placeName,"dressing room",studio
Hunter Sloan,persName,"Mrs. Shelby",shelby
Hunter Sloan,persName,"She (Mrs. Shelby)",shelby
Hunter Sloan,persName,"She",shelby
Hunter Sloan,persName,"Taylor",taylor
Hunter Sloan,persName,"Mrs. Shelby",shelby
Hunter Sloan,placeName,"set",studio
Hunter Sloan,persName,"he",taylor
Hunter Sloan,persName,"Mr. Taylor",taylor
Hunter Sloan,persName,"I",whitney
Hunter Sloan,persName,"her",shelby
Hunter Sloan,persName,"Frederick",frederick
Hunter Sloan,persName,"Ernest",ernest
Hunter Sloan,persName,"Pauline",pauline
Hunter Sloan,persName,"Edith Stewart",stewart
Hunter Sloan,persName,"you",whitney
Hunter Sloan,persName,"Shelby",shelby
Hunter Sloan,persName,"M. George Periolet",periolet
Hunter Sloan,placeName,"Engstrom Apartments, Los Angeles",redsidence
Hunter Sloan,persName,"Jeanne McPherson",mcpherson
Hunter Sloan,persName,"Jeanne",mcpherson
Hunter Sloan,persName,"Mary",minter
Hunter Sloan,persName,"Mrs. O'Neil",o'neil
Hunter Sloan,persName,"Mrs. Shelby",shelby
Hunter Sloan,placeName,"house",redsidence
Hunter Sloan,persName,"Mrs. She1by",shelby
Hunter Sloan,persName,"Mrs. Shelby",shelby
