Byline,Type,Value,Attribute
Rylie Smith,persName,"Mr. Taylor",taylor
Rylie Smith,persName,"Mary Miles Minter",minter
Rylie Smith,persName,"Mr. Hoyt",hoyt
Rylie Smith,placeName,"his house",residency
Rylie Smith,eventName,"threatened to scream",disturbance
Rylie Smith,persName,"Miss Windsor",windsor
Rylie Smith,persName,"Mr. Taylor",taylor
Rylie Smith,persName,"Miss Blanche Street",blanche
Rylie Smith,persName,"Marshal Neilan",neilan
Rylie Smith,placeName,"a caf",restaurant
Rylie Smith,persName,"Mr. Taylor",taylor
Rylie Smith,persName,"Neilan",neilan
Rylie Smith,persName,"Miss Minter",minter
Rylie Smith,objectName,"telephone",communication 
Rylie Smith,persName,"Harry Fellows",harryFellows
Rylie Smith,persName,"Mr. Eyton",eyton
Rylie Smith,persName,"Mr. Taylor's",taylor
Rylie Smith,eventName,"found him dead",mortality
Rylie Smith,persName,"docto",doctor
Rylie Smith,eventName,"hemorhhage of the stomach",illness
Rylie Smith,placeName,"the house",residency
Rylie Smith,persName,"Charley Maigne",maigne
Rylie Smith,persName,"Arthur Hoyt",hoyt
Rylie Smith,persName,"Douglas MacLean",dougMaclean
Rylie Smith,persName,"Harry Fellows",harryFellows
Rylie Smith,persName,"Douglas MacLean",dougMaclean
Rylie Smith,persName,"Taylor",taylor
Rylie Smith,eventName,"was murdered",mortality
Rylie Smith,eventName,"heard a shot",murder
Rylie Smith,persName,"Charley",maigne
Rylie Smith,eventName,"shot last night",murder
Rylie Smith,eventName,"telephoning",communication
Rylie Smith,persName,"Harry Fellows",harryFellows
Rylie Smith,eventName,"telephoned me",communication
Rylie Smith,persName,"Mabel Normand",normand
Rylie Smith,persName,"Mrs. Shelby",cshelby
Rylie Smith,persName,"Mrs. Shelby",cshelby
Rylie Smith,persName,"Mabel Normand",normand
Rylie Smith,persName,"Charley Maigne",maigne
Rylie Smith,objectName,"body",body
Rylie Smith,objectName,"The body",body
Rylie Smith,placeName,"in front of the desk",location
Rylie Smith,placeName,"The desk was near his feet",location
Rylie Smith,persName,"Mary",mary
Rylie Smith,eventName,"engaged to marry",betroth
Rylie Smith,persName,"Mickey Neilan",mickeyNeilan
Rylie Smith,persName,"Taylor",taylor
Rylie Smith,persName,"Mickey",mickeyNeilan
Rylie Smith,persName,"Mickey",neilan
Rylie Smith,persName,"Mickey",mickeyNeilan
Rylie Smith,persName,"Neva Gerber",gerber
Rylie Smith,persName,"Taylor's",taylor
Rylie Smith,eventName,"went to war",wartime
Rylie Smith,eventName,"marry",betroth
Rylie Smith,persName,"Neva Gerber",gerber
Rylie Smith,persName,"Mr. Dumas",dumas
Rylie Smith,persName,"Taylor",taylor
Rylie Smith,eventName,"lying out",positioning
Rylie Smith,placeName,"on the floor",location
Rylie Smith,objectName,"his clothing",clothing
Rylie Smith,persName,"Taylor's",taylor
Rylie Smith,placeName,"home",residency
Rylie Smith,persName,"Taylor's",taylor
Rylie Smith,persName,"Taylor",taylor
Rylie Smith,eventName,"a man peeking in the curtain",suspisous
Rylie Smith,eventName,"walked out",movement
Rylie Smith,persName,"Mr. Taylor",taylor
Rylie Smith,objectName,"fellow's face",bodyPart
Rylie Smith,objectName,"his face",bodyPart
Rylie Smith,persName,"Taylor's chauffeur",peavey
Rylie Smith,eventName,"Bill's death",mortality
Rylie Smith,persName,"Bill",taylor
Rylie Smith,persName,"Bill",taylor
Rylie Smith,eventName,"had been shot",murder
Rylie Smith,eventName,"had been shot",murder
Rylie Smith,objectName,"his back",bodyPart
Rylie Smith,placeName,"feet towards the door",positoning
Rylie Smith,objectName,"hands",bodyPart
Rylie Smith,objectName,"blood",bodyPart
Rylie Smith,objectName,"his head",bodyPart
Rylie Smith,objectName,"the blood",bodyPart
Rylie Smith,objectName,"his mouth",bodyPart
Rylie Smith,objectName,"clothing",clothing
Rylie Smith,objectName,"Clothing",clothing
Rylie Smith,eventName,"properly arranged",positioning
Rylie Smith,objectName,"the couch",furniture
Rylie Smith,objectName,"three or four checks",money
Rylie Smith,persName,"Bill",taylor
Rylie Smith,objectName,"cancelled checks",money
Rylie Smith,placeName,"not on the floor",location
Rylie Smith,objectName,"cancelled checks",money
Rylie Smith,objectName,"his desk",furniture
Rylie Smith,persName,"Taylor",taylor
Rylie Smith,eventName,"killed",murder
Rylie Smith,eventName,"I called up",communication
Rylie Smith,persName,"Earl Tiffany",tiffany
Rylie Smith,placeName,"the house",house
Rylie Smith,persName,"Sands",sands
Rylie Smith,placeName,"Fifth and Figueroa",street
Rylie Smith,persName,"Taylor",taylor
Rylie Smith,persName,"Sands",sands
Rylie Smith,persName,"Tiffany",tiffany
Rylie Smith,persName,"Tiffany",tiffany
Rylie Smith,persName,"Bill",taylor
Rylie Smith,persName,"Miss Normand's maid",maid
Rylie Smith,persName,"Mabel",normand
Rylie Smith,persName,"Edna Purviance",purviance
Rylie Smith,eventName,"telephoned to her",communication
Rylie Smith,persName,"Bill",taylor
Rylie Smith,persName,"Mabel",normand
Rylie Smith,persName,"Miss Purviance",purviance
Rylie Smith,persName,"Bill",taylor
Rylie Smith,objectName,"Evening Herald",documents
Rylie Smith,persName,"Miss Normand",normand
Rylie Smith,persName,"Mr. Taylor",taylor
Rylie Smith,eventName,"heard the shot",murder
