Byline,Type,Value,Attribute
Lily Stein,persName,"Mrs. Shelby",#actor
Lily Stein,persName,"(Taylor)",#director
Lily Stein,eventName,"death",death
Lily Stein,eventName,"murdered",murdered
Lily Stein,persName,"Mrs. Shelby",#actor
Lily Stein,placeName,"office",office
Lily Stein,persName,"Mrs. Shelby",#actor
Lily Stein,placeName,"house (N. Hampshire house)",residence
Lily Stein,objectName,"phone",communication
Lily Stein,persName,"Mr. Smith",#writer
Lily Stein,persName,"Mrs. Shelby",#actor
Lily Stein,persName,"Taylor",#director
Lily Stein,persName,"Miss Berger",#professional
Lily Stein,persName,"Mrs. Shelby",#actor
Lily Stein,persName,"Mr. Taylor",director
Lily Stein,persName,"Mrs. Shelby",#actor
Lily Stein,placeName,"office",work
Lily Stein,objectName,"telephone",communication
Lily Stein,persName,"Mrs. Charlotte Shelby",#actor
Lily Stein,persName,"Margery",#professional
Lily Stein,placeName,"office",work
Lily Stein,persName,"Lasky's",#studio_employee
Lily Stein,placeName,"New Hampshire home",residence
Lily Stein,orgName,"Lasky's Studio",company
Lily Stein,placeName,"office",work
Lily Stein,persName,"Miss Minter",#actor
Lily Stein,persName,"Mr. Taylor",#director
Lily Stein,placeName,"studio",studio
Lily Stein,persName,"Mr. Taylor",#director
Lily Stein,persName,"Miss Minter",#actor
Lily Stein,persName,"Miss Normand",#actor
Lily Stein,persName,"Mr. Taylor",#director
Lily Stein,placeName,"house",residence
Lily Stein,persName,"Mr. Taylor",#director
Lily Stein,persName,"Mr. Taylor",#director
Lily Stein,eventName,"dead",dead 
Lily Stein,placeName,"bed",residence
Lily Stein,persName,"Harry",#director
Lily Stein,persName,"Douglas MacLean",#actor
Lily Stein,persName,"Howard",#servant
Lily Stein,persName,"Henry Peavey",#servant
Lily Stein,persName,"doctor",#professional
Lily Stein,persName,"Mr. Eyton",#director
Lily Stein,persName,"Arthur Hoyt",#actor
Lily Stein,persName,"Charlie Maigne",director
Lily Stein,objectName,"package",package
Lily Stein,persName,"Mr. Taylor's Cameraman",#professional
Lily Stein,persName,"Mrs. Ivers (Jimmie's mother)",#director
Lily Stein,persName,"Jimmie",#actor
Lily Stein,persName,"Mrs. Ivers",#director
Lily Stein,placeName,"studio",studio
Lily Stein,persName,"Mr. Eyton",#director
Lily Stein,persName,"Mr. Eyton",director
Lily Stein,persName,"Mr. Taylor",#director
Lily Stein,eventName,"killed",killed
Lily Stein,placeName,"bank",bank
Lily Stein,persName,"Harry",#director
Lily Stein,placeName,"Robinson's",store
Lily Stein,placeName,"Robinson's Store",store
Lily Stein,persName,"Harry",director
Lily Stein,persName,"Mr. Taylor",#director
Lily Stein,persName,"Taylor",#director
Lily Stein,persName,"Mr. Taylor's",#director
Lily Stein,placeName,"house",residence
Lily Stein,eventName,"killed",killed
Lily Stein,objectName,"watch",jewelry
Lily Stein,objectName,"car",vehicle
Lily Stein,placeName,"Alvarado",alvarado
Lily Stein,placeName,"Maryland",street
Lily Stein,objectName,"garage",passage
Lily Stein,placeName,"landlord's house",residence
Lily Stein,objectName,"car",vehicle
Lily Stein,objectName,"engine",vehicle
Lily Stein,objectName,"door bell",doorbell
Lily Stein,placeName,"home",residence
Lily Stein,objectName,"door bell",doorbell
Lily Stein,objectName,"door bell",doorbell
Lily Stein,objectName,"watch",jewelry
Lily Stein,objectName,"door bell",doorbell
Lily Stein,objectName,"door bell",doorbell
Lily Stein,objectName,"car",vehicle
Lily Stein,objectName,"garage doors",passage
Lily Stein,objectName,"car",vehicle
Lily Stein,objectName,"door",house
Lily Stein,placeName,"Alvarado",alvarado
Lily Stein,objectName,"screen door",passage
Lily Stein,objectName,"door",door
Lily Stein,objectName,"door bell",doorbell
Lily Stein,placeName,"bedroom",residence
Lily Stein,placeName,"den",residence
Lily Stein,placeName,"dining room",house
Lily Stein,placeName,"upstairs",location
Lily Stein,objectName,"clock",decoration
Lily Stein,placeName,"New Hampshire house",residence
Lily Stein,persName,"Taylor",#director
Lily Stein,eventName,"murdered",murdered
Lily Stein,persName,"Mrs. Shelby",#actor
Lily Stein,placeName,"upstairs",location
Lily Stein,objectName,"window",passage
Lily Stein,persName,"Taylor",#director
Lily Stein,eventName,"murdered",murdered
Lily Stein,objectName,"gun",gun
Lily Stein,persName,"M.M. Minter",#actor
Lily Stein,persName,"Mary",#actor
Lily Stein,objectName,"25 caliber blue automatic",gun
Lily Stein,objectName,"shells",gun
Lily Stein,objectName,"gun",gun
Lily Stein,placeName,"New Hampshire house",residence
