Byline,Type,Value,Attribute
Riley Twiss,persName,"Stockdale+Dumas",stockdaledumas
Riley Twiss,persName,"Carl Stockdale",stockdale
Riley Twiss,orgName,"LOS ANGELES NEWS",news
Riley Twiss,persName,"Carl Stockdale",carl
Riley Twiss,persName,"Charlotte Shelby",cshelby
Riley Twiss,persName,"Mary Miles Minter",mminter
Riley Twiss,persName,"Taylor's",taylor
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Taylor",taylor
Riley Twiss,persName,"Stockdale",stockdale
Riley Twiss,placeName,"6325 Fountain Avenue",residence
Riley Twiss,persName,"Fitts",fitts
Riley Twiss,persName,"William Desmond Taylor",taylor
Riley Twiss,persName,"Bill Taylor's",taylor
Riley Twiss,placeName,"home",residence
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Stockdale",stockdale
Riley Twiss,persName,"Sands.",sands
Riley Twiss,persName,"Taylor's",taylor
Riley Twiss,persName,"Edward Sands",sands
Riley Twiss,persName,"police",law
Riley Twiss,persName,"Charlotte Shelby",cshelby
Riley Twiss,persName,"Frank",type
Riley Twiss,persName,"Stockdale",stockdale
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Stockdale",stockdale
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,placeName,"Santa Barbara",city
Riley Twiss,persName,"Mary Miles Minter",mminter
Riley Twiss,persName,"William Desmond Taylor",taylor
Riley Twiss,persName,"Carl Stockdale",stockdale
Riley Twiss,persName,"Charlotte Shelby",cshelby
Riley Twiss,persName,"Mary Miles Minter",minter
Riley Twiss,persName,"Taylor",taylor
Riley Twiss,persName,"Stockdale",stockdale
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Taylor",taylor
Riley Twiss,persName,"Stockdale",stockdale
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Stockdale",stockdale
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Frank",frank
Riley Twiss,eventName,"shooting",gun
Riley Twiss,persName,"Taylor",taylor
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Taylor",taylor
Riley Twiss,placeName,"404-B South Alvarado street",adress
Riley Twiss,persName,"Mrs. Shelby",cshelby
Riley Twiss,persName,"Taylor",taylor
Riley Twiss,persName,"Mabel Normand",normand
Riley Twiss,persName,"Taylor",taylor
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Mary's",minter
Riley Twiss,persName,"William Desmond Taylor",taylor
Riley Twiss,persName,"Charlotte Shelby",cshelby
Riley Twiss,persName,"Carl Stockdale",stockdale
Riley Twiss,persName,"Parker Wood's",wood
Riley Twiss,persName,"Margaret Shelby Fillmore",margret
Riley Twiss,persName,"Shelby's",cshelby
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Stockdale stated.",stockdale
Riley Twiss,orgName,"Mack Sennett Studios",studio
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Taylor",taylor
Riley Twiss,persName,"Mary Miles Minter",minter
Riley Twiss,persName,"Mabel Normand",normand
Riley Twiss,persName,"Taylor",taylor
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Fillmore",fillmore
Riley Twiss,persName,"Stockdale's",stockdale
Riley Twiss,persName,"Fillmore",fillmore
Riley Twiss,persName,"Shelby",cshelby
Riley Twiss,persName,"Mary",mary
Riley Twiss,persName,"Mabel Normand",normand
Riley Twiss,persName,"VERNE DUMAS",dumas
Riley Twiss,persName,"Taylor",taylor
Riley Twiss,objectName,"stone",Material
Riley Twiss,objectName,"towel",Cloth
Riley Twiss,objectName,"robe",clothing
Riley Twiss,persName,"Henry",henry
Riley Twiss,persName,"Harrington",harrington
Riley Twiss,placeName,"room",house
Riley Twiss,objectName,"mouth",bodypart
Riley Twiss,objectName,"nose",bodypart
Riley Twiss,objectName,"desk",furniture
Riley Twiss,objectName,"door",house
Riley Twiss,objectName,"rug",furniture
Riley Twiss,objectName,"rug",furniture
Riley Twiss,objectName,"foot",bodypart
Riley Twiss,objectName,"chair",furniture
Riley Twiss,objectName,"foot",bodypart
Riley Twiss,objectName,"chair",furniture
Riley Twiss,objectName,"desk",furniture
Riley Twiss,objectName,"desk",furniture
Riley Twiss,objectName,"chair",furniture
Riley Twiss,objectName,"head",bodypart
Riley Twiss,objectName,"desk",furniture
Riley Twiss,objectName,"table",furniture
Riley Twiss,objectName,"checks",money
Riley Twiss,objectName,"lock",security
Riley Twiss,objectName,"key",key
Riley Twiss,objectName,"key",key
Riley Twiss,objectName,"arm",bodypart
Riley Twiss,objectName,"coat",clothings
