Pittsburgh	Pennsylvania	Pittsburgh Post	1922-02-08	Only by the exercise of supreme self-restraint has Congress refrained so far from appointing a commission to go on a California excursion to investigate picture studio shenanigan.
San Francisco	California	San Fransico Chronicle	1922-02-08	The angle eliminated today was the theory that the New York broker who came here, ostensibly to marry Miss Mary Miles Minter, might have slain the director out of jealousy. It was well known that Taylor idolized the girl. It was learned today, however, that the young man did not flee the city the day after the murder from any apprehension. The management of the hotel at which he was guest, had requested him to leave. The broker brought a film actor and two extra girls into his room. It is declared that the quartet was noisy and that people in nearby rooms summoned the hotel detective. The latter declares there was much drink in the place. He says further that when he asked the women to leave the men assaulted him.
Los Angeles	California	Los Angeles Examiner	1922-02-08	(letter written to Taylor by Mary Miles Minter) 'You Wonderful Man! I Want to Go Away With You--Alone,' Is Opening Here is another unsigned love letter, in cipher, found in the effects of William D. Taylor, the motion picture director. This letter would indicate the writer's deep love for Taylor. The code is known to thousands of youngsters: What shall I call you, you wonderful man. You are standing on the lot, the idol of an adoring company. You have just come over and put your coat on my chair. I want to go away with you, up in the hills or anywhere just so we'd be alone--all alone. In a beautiful little woodland lodge you'd be cook (as I can only make tea) and fetch the water and build the fire. Wouldn't it be glorious to sit in a big comfy couch by a cozy warm fire with the wind whistling outside trying to harmonize with the faint sweet strains of music coming from our victrola. And then you'd have to get up and take off the record. Of course, I don't mean that, dear. Did you really suppose I intended you to take care of me like a baby? Oh no, for this is my part. I'd sweep and dust (they make the sweetest, little dust caps, you know) and tie fresh ribbons on the snowy white curtains and feed the birds and fix the flowers, and, oh, yes, set the table and help you wash the dishes and then in my spare time I'd darn your socks. I'd go to my room and put on something soft and flowing, then I'd lie on the couch and wait for you. I might fall asleep for a fire always makes me drowsy--then I'd wake to find two strong arms around me and two dear lips pressed on mine in a long sweet kiss - (THE LAST PARAGRAPH OF THIS LETTER IS BEING WITHHELD BY THE EXAMINER FROM PUBLICATION AT THIS TIME)
Los Angeles	California	Los Angeles Recrod	1922-02-08	A complaint charging Sands with the murder was to be issued today by the district attorney's office. William Doran, chief deputy district attorney, said there was no doubt in his mind that Sands is the guilty man.
Los Angeles	California	Los Angeles Herald	1922-02-08	(Los Angeles)--Captain of Detectives David Adams made the flat statement today that secret information in his possession positively links Sands with the slaying and the police were concentrating their efforts upon a search for the former secretary. 'We have obtained secret information that we believe virtually solves the murder,' Captain Adams stated. 'We are centering our efforts on the location of Sands. This information has not been made public, nor will it be, but it is positive in its character.'
Los Angeles	California	Los Angeles Times	1922-02-08	William D. Taylor, slain film director, was the dude of Dawson City, according to Adelbert Bartlett of Santa Monica, who knew him in Alaska [sic] in 1910. He wore tweeds, a soft crush hat, tasteful haberdashery, and was immensely popular with the women. He played crack tennis, was a card expert and attended most of the big functions in a dress suit, one of the few dress suits in the town. At that time Mr. Taylor was timekeeper for the Yukon Gold Company at $175 a month. 'Mr. Taylor gave me the impression of a man on a mysterious mission. At times he would obscure himself and nobody would know where he was and then again, he would embark on the heights of sociability. All of the women were interested in him. The country was more or less unconventional and he was frequently the escort of married women. In a perfectly proper way, of course. 'There was one case in particular, however, that impressed me at the time as liable to lead to trouble. Every morning at 10 o'clock he would have a tete-a-tete over the telephone with a woman. One woman was the wife of a high employee of the company, and there was some gossip. 'I used to wonder why a man of his personality and culture should spend his time there at such meager pay and the fact that he was always somewhat mysterious enhanced this question. 'He was thoroughly familiar with the Yukon Territory and I understood that he had been there in 1898 and 1899. He used to show me many places of interest. Robert W. Service, the poet, Mr. Taylor and myself have played together. 'Mr. Taylor was rather a quiet fellow, but always an outstanding figure. He attended the society affairs given by the Governor of the Territory and by the local celebrities and made himself generally agreeable, too. 'Lots of us guessed that he was a typical English remittance man. If Mr. Taylor was murdered because of any of his actions up there in the Klondike the grudge must have been harbored for a long time.'
Los Angeles	California	Los Angeles Times	1922-02-08	Dawson City, Feb. 7.--Records of the Yukon Gold Company indicate that William Desmond Taylor, motion-picture director who was found dead with a bullet wound in his neck [sic] in Los Angeles recently, added to his multifarious lists of trades during his sojourn in the Yukon. In Dawson he worked as timekeeper and commissary clerk from 1908 to 1913 [sic]. He is remembered as an efficient commissary clerk in several creek stations of the Yukon Gold Company. At Claim Seventy-six 'below' on Bonanza creek, he is referred to as a record-breaker in holding down grub allowances. He rode horseback for pastime and wrote short stories, which were published, it was said, in outside magazines. It is believed that he originally came from England. In the four- year period mentioned, he was absent from the Yukon one winter when he went to Honolulu with a theatrical company.
San Francisco	California	San Fransico Chronicle	1922-02-08	Los Angeles, Feb. 7--...Meantime the Sheriff's office has announced than an arrest will be made before morning and that the person arrested will not be Sands. The 'woman' theory was strengthened by Mabel Normand. She denied that she was infatuated with Taylor or Taylor with her, but admitted it might have appeared so to a jealous person and that 'it might be another girl.' Despite her disavowal of love for Taylor, Miss Normand collapsed at his funeral, held in the procathedral here today. An actress who had been severely grilled a few nights ago was questioned again today. It is believed her sweetheart may know something of the murder. He was jealous of Taylor, it is said. The 'tip' that Sands was hiding near Carlin, Nev., was proved false. The man was not Sands. He was much shorter, and he had a wooden leg. It was reported that new evidence as to the activities of the narcotic vendors, who are plentiful in Hollywood, had promised surprising developments, but there was nothing definite. The police were looking for a man said to be known as 'Dirty Joe,' who they believe can tell something about Taylor's personal habits, about the woman who went to call at his cozy bachelor apartments, when the shades had been drawn, and about the men reputed to be jealous of him. Some of the actors and actresses who have been patronizing this peddler are being sought, the police believing it possible they may talk 'if rightly handled.' Mary Miles Minter, the film star, who became hysterical when she heard of Taylor's death, has shut herself up in her home and four private detectives stand on guard to keep everybody away. Since it became known that Mary had written to Taylor, she will see nobody. A letter with her butterfly crest, signed, 'Yours, always, Mary,' was found in one of the numerous books in the Taylor library. 'Dearest,' it said, 'I love you, I love you, I love you.' There were nine little crosses for nine little kisses and the big cross with an exclamation point at the bottom of the letter. Mary has not admitted she sent this letter. Neither has she denied it. She has denied, however, that she loved Taylor in the sense the word is usually used. She loved him as a big, strong, kind man, she says, a brilliant, courteous, charming 'uncle.' She never was engaged to him. He never made love to her. Henry Peavey, Taylor's negro valet and cook, was questioned again today, but the only new thing he told was that Taylor kept a tiny lace handkerchief and that he used to kiss it often reverently. It may have been one sent him by his daughter, Ethel Daisy, who is coming to Los Angeles to attend the burial. It may have belonged to any one of many beautiful women. The handkerchief, so far as the police can learn, has nothing to do with the murder. But then, they say, neither has the missing pink silk nightie, for which they are still searching. The mystery of the nightie's disappearance simply adds to the mystery of the case. It was reported that the new county grand jury may be given this case within a few days. 'We are progressing with the case,' said Captain Adams, 'even if only by the process of elimination. We have not yet made any arrests, or taken anyone on suspicion, but we are gradually getting out of all the false trails that have been hiding the real path. I believe it all rests with Sands. Once we have him, we'll have everything.'...
Los Angeles	California	Los Angeles Examiner	1922-02-08	Declaring that he called William D. Taylor at 7:55 o'clock Wednesday night and, receiving no answer, went to the apartment of the film director, arriving there at 8:15 o'clock, rang the doorbell and still met with no response, Howard Fellows, chauffeur for the murdered director, last night definitely fixed the time within which the crime must have been committed and added facts regarding as of first magnitude importance in their bearing upon the crime. Strangely enough, this young man, who had been Taylor's driver for nearly six months, had not been questioned at length until yesterday, when an Examiner representative called on him at his home, 1622 Shatto Place. He is a brother of Harry Fellows, who was Taylor's assistant director. Yesterday Detective Sergeant Tom Zeigler took Howard to the Taylor home, 404-B South Alvarado street. He was partially identified by a resident of the neighborhood as the person he had seen seated in a car on the night of the murder near the scene of the crime and about the time it was committed. Fellows denied this and convinced Zeigler that the man was mistaken. One of Fellows' most interesting statements, other than that relating to his movements and observations on the night of the assassination, had to do with an alleged quarrel between Taylor and Mabel Normand. 'I was driving Mr. Taylor and Miss Normand from the Ambassador Hotel, where they had attended a New Year's Eve party, to her home.' said Fellows. 'On the way they had a quarrel. I don't know what it was about, but both were very much excited. 'Mr. Taylor took Miss Normand home and then returned to his apartment. Upon arriving there he broke down and wept. 'On the following morning he did up some jewelry in a package and took it to Miss Normand at her home.' Henry Peavey, Taylor's colored valet, confirms this. 'Mr. Taylor and Miss Normand were very affectionate,' continued Fellows. Questioned independently, Peavey said that Taylor often caressed her. As to these matters Fellows spoke casually, but when he entered upon the events of the night of February 1, his narrative became astounding both as to its content and because he had never told it before. 'I left the house (Mr. Taylor's) about 4:30 Wednesday afternoon,' Fellows began. 'Mr. Taylor told me he might be going out in the evening and instructed to be sure to telephone by 7:30. I went to the home of a young lady friend and was there until 7:55. I recall the time accurately because I had it on my mind to call Mr. Taylor and ask him if he would need the car. 'I called him two or three times before that hour, bur received no reply. I left the house of my girl friend at five minutes to eight and drove directly to Mr. Taylor's. 'I reached there about a quarter past eight. 'There was a light in the living room. I was surprised that Mr. Taylor should be home and not have answered the telephone. 'I rang the doorbell. Silence. I rang again. Still no response. I must have rung three or four times. Then I concluded: 'Well, he has some one there and doesn't want to answer.' 'So I put up the car. I was around back of the house, and it is peculiar that persons in the neighborhood should have heard me walking and not have heard me put up the car. I made a good deal of noise doing this, as the garage is difficult to get into, and I guess I must have backed the car up four or five times. 'I am satisfied that I am the man Mrs. Douglas MacLean saw standing on the porch and leaving the house. I wore a cap and a raincoat. 'I noticed no cars in the immediate vicinity and saw no one who aroused my suspicions. 'Naturally, I am convinced that both when I phoned and when I rang the doorbell, Mr. Taylor was lying there on the floor murdered.' Taking the testimony of Fellows and Miss Normand together, it is now possible to fix the time of the murder within fifteen minutes. Miss Normand said she left Taylor between 7:30 and 7:45 o'clock. Fellows called him at 7:55. The murder was committed between Miss Normand's leave-taking and Fellows' phoning. Hence, for the first time, the police have a picture of the murder as it relates to the time when and in which it was committed. Before Fellows' statement became available there was no conclusive evidence as to the time the bullet of the assassin struck the film director down. Testimony as to the shot being heard was so vague as to be unconvincing. It could not be said with finality that the murder did not occur at midnight or at any other hour of the night. The acts of the drama leading to the murder must have been brief. It would appear, indeed, that there were no preliminaries, that the intruder, concealed in the room, stepped out and fired the shot. It is therefore deduced that it was a premeditated crime and not one precipitated by a quarrel or any sort of scene more than of momentary duration. One group of police investigators and most of the deputy sheriffs working on the case are now convinced that the visit of Mabel Normand was the immediate antecedent occasion for the crime. This theory naturally takes for granted that Miss Normand had not the slightest intimation that her dear friend was to be shot to death, but officers cannot help but believe that the murderer found the way for his crime paved in some way by the visit of Miss Normand. There was another new angle to the case late yesterday upon which two of the ablest detectives on the force are now working. A citizen of established reputation gave the details to a high police official yesterday, the story running substantially as follows: A young man who has come into touch with motion picture people in a business way, though not one of them, was infatuated with an actress prominently mentioned in the investigation. Shortly before the time of the murder, that is between 7:30 and 8 o'clock on the night of February 1, this citizen saw the young man in question near Taylor's house. He wore a cap and a long coat. Since last Thursday he has not been seen either at his home or place of business. This clue is regarded as important because the elements of motive and time are supplied. The young man is said to have a violent temper and to have strongly resented innuendoes affecting the reputation of the actress whom he worshipped. Into the William D. Taylor murder last night was injected an element which the police regard as of startling import. This was the revelation, according to information, that a man's handkerchief, not the possession of Taylor himself, was found in the director's living room the morning after he was slain. The conclusion that the handkerchief did not belong to Taylor is furnished in this report-- It bore the initial 'S.' A detective is said to have picked up the article from the floor. He glanced at it, saw the initial, and for the moment, other matters engrossing him, he gave the discovery little thought. For several hours all was confusion in the Taylor rooms. Detectives, motion picture actors, reporters and photographers invaded the apartment. Yesterday the detective recalled the incident, remembering distinctly that there was a single initial embroidered on the square of linen. The disclosure proved to be of profound interest, as officers immediately started upon an investigation with this as the subject matter and the owner the end of the search. What gives the discovery special significance is that the handkerchief was soiled. So says the detective, who recalls this circumstance clearly. The handkerchief was lying on the floor near where Taylor's body lay outstretched. Now, Taylor, according to all the descriptions of him furnished by his friends, was a neat man and would not have had a soiled article like this lying around. To add to the probability that it came from without rather than from within the home, may be mentioned the fact that Henry Peavey, colored valet, had straightened up the director's living room before leaving for the evening. Peavey yesterday informed the police that the handkerchief certainly was not there when he left. He also stated that Taylor possessed nothing resembling this. Hence, it is a deduction that a man having a handkerchief bearing the initial 'S' called on Taylor and was in the apartment between the time Peavey left for the night and the discovery of the crime the following morning. In reconstructing the murder as suggested by this discovery the police picture the assassin as taking his handkerchief from his pocket during a conversation with Taylor and of so insecurely placing it back that it fell from his pocket. Or--and this is another sketch to fit the hypothesis--he may have used the handkerchief after the murder and, either in haste or agitation, dropped it. It is now of the utmost importance, in the view of the police, that this handkerchief be recovered. Or, failing in this, that its owner be identified. Some one took the article from the living room where it was carelessly placed by the detective who found it. Did that some one have an interest in hiding what might have been incriminating evidence? Its appearance, they say, would have precluded any mere souvenir hunter from having taken it. However, it is believed to be beyond question that some one surreptitiously picked this thing up and concealed it in his pocket. Whether or not it is of the huge possible importance with which it is now regarded, this new story has sent the police hunting in a new direction. They are looking for the owner of that handkerchief. A long list of film folk, celebrated and obscure, whose names begin with that initial, was being canvassed last night by officers. Little importance was attached to the pink silk nightgown found in the director's apartments. This, it was learned, had been laundered only once or twice and bore no initials or other marks by which its ownership might be determined. Information came to headquarters yesterday that a man had been seen walking back and forth in the rear of Taylor's home in the Westlake district about two weeks ago. He was seen there on at least two nights, pacing up and down the alley and, apparently, watching the house. There is, of course, no means of knowing who he was or why he was there, but the theory of a hired assassin enters to account for his presence and stealthy vigil. Detective Sergeants Cato and Cahill yesterday started a systematic requestioning of all persons who might contribute helpful facts. One of those put down for a thorough course of grilling is an actress who has not been mentioned in the case. Officers called at her studio yesterday, but found that she was out on location at a distant point in Southern California. The collapse of a noted screen star mentioned frequently in connection with the case yesterday prevented the police from further questioning her. They had a point to clear up, and the information, it was learned, could only come from her. Her attorney yesterday took command of her affairs and notified callers that she was bedridden and in neither physical nor mental condition to discuss the case. The cause of the actress' breakdown is attributed in part to the strain of innumerable police interviews, but chiefly to the loss of a friend who, she says, was very dear to her. It developed yesterday that few members of the picture colony believe Edward F. Sands, discharged secretary-valet of the director, to have been the murderer. Particularly in the Famous Players-Lasky is this conviction strong. Few of them knew Sands personally, but those who had seen him around Taylor's apartments now recollect him as a man who might have been guilty of petty crimes, such as robbery, but not of murder. It occasioned little surprise yesterday when the sheriff of Elko, Nev., wired that the man seen there for several days and supposed to be Sands had been questioned and gave such a clear account of himself that the sheriff ordered his release. Detective Ed King this morning will ask the District Attorney for a complaint charging Sands with the murder of Taylor.
Los Angeles	California	Los Angeles Times	1922-02-08	Personal letters written by Mabel Normand, film actress to William Desmond Taylor, slain motion-picture director, were returned to her late yesterday, according to information in the possession of three officers working on the murder investigation. These missing letters, which have figured largely among the puzzling phases of the case, have never been in the hands of the police, it was declared. On suggestions of a thorough grand jury inquiry into the matter, the person said to have had these letters returned them to her, the three officers said. But a representative of Miss Normand, who collapsed yesterday at the funeral of the man whose home she left only a few minutes before he was shot in the back, stated she had not received them at a late hour last night. Captain of Detectives Adams asserted again that the police have never had any letters written by her or by Mary Miles Minter, another actress, whose love for Mr. Taylor has never been denied by her. These letters, couched in terms of endearment for the director, also were returned, according to the officers' report. Miss Minter, who has been ill, had no statement to make concerning the report. Her attorney said she did not have them... Deputy Sheriff Bell, working in connection with a 'lead' from Sheriff Traeger, made a mysterious trip during the afternoon and upon his return went into conference with Undersheriff Biscailuz and Superintendent of Criminal Investigation Manning. Mr. Biscailuz declined to divulge the nature of the inquiry, but declared he has every reason to believe they are on the right track and that the murder will not slip into the unsolved class. Detective Sergeants Cato and Cahill spent the morning and part of the afternoon eliminating from serious consideration a 'tip' given Monday night by C. M. Meister, chauffeur for the Yellow Taxicab Company, who told the officers a lurid story of four persons and their mysterious activities near the scene of the murder on South Alvarado street last Wednesday night, the time the shooting occurred. Cato and Cahill declared yesterday they are convinced the episode mentioned has no bearing on the case, but they investigated it thoroughly before discarding it... Information tending to connect a motion-picture director, thus far not mentioned in any way with the official inquiry, with the mysterious slaying of Mr. Taylor in his bachelor apartments was received by two of the detectives late in the day. They left on a hurried trip which kept them away from the police station many hours. Although they were reticent about the new 'lead' it was learned they had discovered witnesses who related a quarrel asserted to have occurred, between Mr. Taylor and the new suspect. An Edward Sands, at first believed to be the man about whom the country- wide search has centered, was questioned for a considerable time yesterday by Detective Sergeants Herman Cline and Murphy. Mr. Sands, a young man whose description answered in a general way to that of the suspect, recently became captain of bellboys in a fashionable hotel. A letter addressed to him was noted, and since he had been employed at the hotel only a few days, someone's suspicions were aroused. Following the clue given them, the officers investigated. Mr. Sands gave a straightforward account of his whereabouts for the last few years and declared he did not know any Edward F. Sands. He explained that his middle name was Edward but that he always used it as a first name. In the hope that Mr. Sands might have known something of the family of the man wanted, the officers questioned him for an hour at the detective bureau. No information of value was obtained, it was stated. The Sheriff's office, which is conducting a complete inquiry into all clues received by the county officer holds the belief that Sands, who has been a fugitive from justice for many months because of asserted grand larceny and forgery, has no knowledge of the actual murder. Those officers, as well as some of those working out of the police detective bureau, adhere more closely than ever to the theory that Mr. Taylor, an outstanding figure in the motion-picture industry, was slain by a jealous rival for the love of a film actress...
New York	New York	New York Telegraph	1922-02-08	Los Angeles, Feb. 7--...Bell and Manning declare that the police theory, fixing the murder upon Sands, Taylor's former secretary, is erroneous. 'The man who killed Taylor is right here in Los Angeles,' declared Bell. 'We are not shooting blind. We know what and who we are after. Before another day is passed we will have action on the murder.' The county investigators are working on the theory that a woman is at the bottom of the mysterious murder. The chief evidence unearthed during the day is a letter and a bit of celluloid film. The letter was received by Arthur Koetchu, Assistant State's Attorney General. It was received from a woman and, according to Koetchu, has a direct bearing on the case. It recounted that the writer overheard a conversation at Second street and Bunker Hill avenue on the night of the tragedy. One of the motorists wore a cap and muffler, it was stated. The informant overheard the men conversing in low, excited tones, the letter states. 'Now that we're in for it,' one of them is said to have told 'the man in the muffler.' They separated, going in different directions in two automobiles. But the occupants lost some small articles in their haste, the letter states. One of these was a small strip of motion picture film, apparently part of a scenic reel depicting the Grand Canyon. In the strip was this sub-title, apparently only a sinister coincident: 'A deep and brooding mystery seems to hover over this great scar on the face of nature.' Taylor had several reels of pictures stored in his home. Detective George Conteres is going through them with Public Administrator Frank Bryson to ascertain whether or not the strip of film is part of Taylor's collection of scenics.
